Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 7866.34, -4.23287, 7866.34, -124.233, 7866.34, 115.767, 2133.21, -8.3791, 2133.21, -128.379, 2133.21, 111.621
180, 3.00000, 2.97095E-009, 155.797, 1.62092E-008, 48.8809, 1.56058E-008, -120.625, 3.56534E-009, -112.996, 1.94521E-008, 140.087, 1.87279E-008, -29.4184
300, 5.00000, 0.00049774, 158.466, 0.000497477, -81.5278, 0.000497564, 38.443, 0.000358443, -110.81, 0.000358254, 9.1961, 0.000358316, 129.167
420, 7.00000, 0.000653955, -46.6071, 0.000654129, -166.572, 0.000654391, 73.3974, 0.000336399, 43.91, 0.000336488, -76.0546, 0.000336623, 163.914
540, 9.00000, 1.03845E-008, -85.9553, 1.27598E-008, 172.979, 1.48252E-008, 36.4065, 4.15483E-009, 4.44692, 5.10522E-009, -96.6189, 5.93156E-009, 126.809
660, 11.00000, 123.506, 3.18783, 123.506, 123.188, 123.506, -116.812, 40.4306, 93.5169, 40.4306, -146.483, 40.4306, -26.4831
780, 13.00000, 56.8305, 18.2935, 56.8305, -101.707, 56.8305, 138.294, 15.7418, 108.572, 15.7418, -11.4281, 15.7418, -131.428
900, 15.00000, 3.16517E-009, 72.1437, 8.5342E-009, 166.569, 8.87031E-009, -34.2712, 7.59843E-010, 162.385, 2.04875E-009, -103.19, 2.12944E-009, 55.9701
60, 1.00000, 7895.3, -3.18419, 7895.3, -123.184, 7895.3, 116.816, 1605.5, -7.36965, 1605.5, -127.37, 1605.5, 112.63
180, 3.00000, 1.32175E-008, 158.049, 2.23656E-008, 49.4183, 2.20464E-008, -95.963, 1.58618E-008, -110.745, 2.68401E-008, 140.625, 2.64571E-008, -4.75652
300, 5.00000, 388.788, 5.63234, 388.788, 125.632, 388.788, -114.368, 279.982, 96.3563, 279.982, -143.644, 279.982, -23.6437
420, 7.00000, 325.107, 166.927, 325.107, 46.9274, 325.107, -73.0726, 167.237, -102.556, 167.237, 137.444, 167.237, 17.4445
540, 9.00000, 5.04033E-009, -54.5985, 2.28262E-008, -174.873, 2.07469E-008, 17.2381, 2.01664E-009, 35.8037, 9.13277E-009, -84.4709, 8.30085E-009, 107.64
660, 11.00000, 67.7763, 6.80182, 67.7763, 126.802, 67.7763, -113.198, 22.1871, 97.1309, 22.1871, -142.869, 22.1871, -22.8691
780, 13.00000, 31.475, 21.6579, 31.475, -98.3421, 31.475, 141.658, 8.71846, 111.936, 8.71846, -8.06365, 8.71846, -128.064
900, 15.00000, 2.26698E-009, -62.9164, 1.45855E-008, 164.597, 1.31609E-008, -8.10579, 5.44221E-010, 27.3249, 3.50145E-009, -105.162, 3.15946E-009, 82.1355
60, 1.00000, 7946.31, -1.06715, 7946.31, -121.067, 7946.31, 118.933, 538.415, -5.331, 538.415, -125.331, 538.415, 114.669
180, 3.00000, 1.36657E-008, 163.665, 2.3124E-008, 55.0344, 2.2794E-008, -90.3469, 1.63997E-008, -105.129, 2.77503E-008, 146.241, 2.73543E-008, 0.859531
300, 5.00000, 419.622, 13.6856, 419.622, 133.686, 419.622, -106.314, 302.187, 104.41, 302.187, -135.59, 302.187, -15.5905
420, 7.00000, 367.329, 176.262, 367.329, 56.2623, 367.329, -63.7377, 188.957, -93.2206, 188.957, 146.779, 188.957, 26.7794
540, 9.00000, 5.93387E-009, -44.8241, 2.68728E-008, -165.099, 2.44249E-008, 27.0124, 2.37414E-009, 45.578, 1.07518E-008, -74.6966, 9.77242E-009, 117.415
660, 11.00000, 82.5496, 16.5067, 82.5496, 136.507, 82.5496, -103.493, 27.0232, 106.836, 27.0232, -133.164, 27.0232, -13.1642
780, 13.00000, 39.3874, 31.0247, 39.3874, -88.9753, 39.3874, 151.025, 10.9102, 121.303, 10.9102, 1.30317, 10.9102, -118.697
900, 15.00000, 2.89786E-009, -54.0098, 1.86444E-008, 173.503, 1.68234E-008, 0.800858, 6.95671E-010, 36.2315, 4.47586E-009, -96.2554, 4.0387E-009, 91.0422
