hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.00900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.01900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.02900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.03900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.04900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.05900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.06900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.07900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.08900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.09900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10500, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10600, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10700, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10800, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.10900, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.11000, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.11100, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.11200, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.11300, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
0, 0.11400, -666000, -322640, -666000, -322640, -666000, -322640, 0, 0
