hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 8269.15, 2.21306, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.786, 30.7664, 62.2138, 30.7664, -57.7862, 6.00412E-009, 62.2137
0, 2.00000, 8269.15, 2.21306, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.786, 30.7664, 62.2136, 30.7664, -57.7864, 6.00413E-009, 62.2136
0, 3.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.786, 30.7664, 62.2135, 30.7664, -57.7865, 6.00413E-009, 62.2134
0, 4.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2135, 30.7664, -57.7865, 6.00413E-009, 62.2135
0, 5.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2134, 30.7664, -57.7866, 6.00412E-009, 62.2133
0, 6.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2133, 30.7664, -57.7867, 6.00413E-009, 62.2132
0, 7.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2133, 30.7664, -57.7867, 6.00413E-009, 62.2133
0, 8.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2132, 30.7664, -57.7868, 6.00413E-009, 62.2132
0, 9.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2132, 30.7664, -57.7868, 6.00413E-009, 62.2132
0, 10.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2132, 30.7664, -57.7868, 6.00412E-009, 62.2132
0, 11.00000, 8269.32, 2.22003, 8269.32, -117.78, 8269.32, 122.22, 0, 0, 30.825, -177.708, 30.825, 62.2916, 30.825, -57.7084, 6.01559E-009, 62.2915
0, 12.00000, 8269.38, 2.2196, 8269.38, -117.78, 8269.38, 122.22, 0, 0, 30.8248, -177.719, 30.8248, 62.2805, 30.8248, -57.7195, 6.01554E-009, 62.2805
0, 13.00000, 8269.45, 2.21902, 8269.45, -117.781, 8269.45, 122.219, 0, 0, 30.8245, -177.734, 30.8245, 62.2655, 30.8245, -57.7345, 6.01547E-009, 62.2654
0, 14.00000, 8269.01, 2.19769, 8269.01, -117.802, 8269.01, 122.198, 0, 0, 30.6485, -177.98, 30.6485, 62.0196, 30.6485, -57.9804, 5.98113E-009, 62.0196
0, 15.00000, 8268.23, 2.17063, 8268.23, -117.829, 8268.23, 122.171, 0, 0, 30.415, -178.276, 30.415, 61.7242, 30.415, -58.2758, 5.93555E-009, 61.7242
0, 16.00000, 8267.8, 2.17383, 8267.8, -117.826, 8267.8, 122.174, 0, 0, 30.4163, -178.192, 30.4163, 61.8083, 30.4163, -58.1917, 5.93582E-009, 61.8083
0, 17.00000, 8267.86, 2.19802, 8267.86, -117.802, 8267.86, 122.198, 0, 0, 30.5933, -177.869, 30.5933, 62.1313, 30.5933, -57.8687, 5.97035E-009, 62.1312
0, 18.00000, 8268.06, 2.21296, 8268.06, -117.787, 8268.06, 122.213, 0, 0, 30.7112, -177.686, 30.7112, 62.3141, 30.7112, -57.6859, 5.99336E-009, 62.3141
0, 19.00000, 8268.32, 2.21927, 8268.32, -117.781, 8268.32, 122.219, 0, 0, 30.7696, -177.625, 30.7696, 62.3747, 30.7696, -57.6253, 6.00475E-009, 62.3746
0, 20.00000, 8268.31, 2.21109, 8268.31, -117.789, 8268.31, 122.211, 0, 0, 30.7102, -177.735, 30.7102, 62.2654, 30.7102, -57.7346, 5.99317E-009, 62.2652
