hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -466.667, 287.819, -466.667, 287.819, -466.667, 287.819, 0, 0
0, 2.00000, -500, 305.112, -500, 305.112, -500, 305.112, 0, 0
0, 3.00000, -533.333, 322.036, -533.333, 322.036, -533.333, 322.036, 0, 0
0, 4.00000, -566.668, 338.605, -566.668, 338.605, -566.668, 338.605, 0, 0
0, 5.00000, -600, 354.808, -600, 354.809, -600, 354.808, 0, 0
0, 6.00000, -640, 373.786, -640, 373.786, -640, 373.786, 0, 0
0, 7.00000, -653.333, 380.001, -653.333, 380.001, -653.333, 380.001, 0, 0
0, 8.00000, -666.666, 386.164, -666.666, 386.164, -666.666, 386.164, 0, 0
0, 9.00000, -666.667, 386.165, -666.667, 386.165, -666.667, 386.165, 0, 0
0, 10.00000, -666.667, 386.166, -666.667, 386.166, -666.667, 386.166, 0, 0
0, 11.00000, -666.667, 386.166, -666.667, 386.166, -666.667, 386.166, 0, 0
0, 12.00000, -653.334, 380.004, -653.334, 380.004, -653.334, 380.004, 0, 0
0, 13.00000, -600, 354.801, -600, 354.801, -600, 354.801, 0, 0
0, 14.00000, -600, 354.801, -600, 354.801, -600, 354.801, 0, 0
0, 15.00000, -600, 354.801, -600, 354.801, -600, 354.801, 0, 0
0, 16.00000, -600, 354.801, -600, 354.801, -600, 354.801, 0, 0
0, 17.00000, -533.334, 322.035, -533.334, 322.035, -533.334, 322.035, 0, 0
0, 18.00000, -466.667, 287.818, -466.667, 287.818, -466.667, 287.818, 0, 0
0, 19.00000, -400, 252.095, -400, 252.095, -400, 252.095, 0, 0
0, 20.00000, -333.333, 214.807, -333.333, 214.807, -333.333, 214.807, 0, 0
