hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 282.542, 9.00413, 280.956, -111.255, 280.284, 128.959, 0, 0, 1940.45, -139.336, 1951.41, 100.404, 1956.09, -19.3816, 21.6748, -164.627
0, 2.00000, 284.038, 9.36802, 282.337, -110.886, 281.648, 129.341, 0, 0, 2031.34, -140.696, 2043.58, 99.0501, 2048.58, -20.7236, 23.6486, -164.021
0, 3.00000, 284.85, 9.86346, 283.047, -110.393, 282.311, 129.848, 0, 0, 2144.51, -140.955, 2158.18, 98.7887, 2163.8, -20.9702, 26.3013, -163.291
0, 4.00000, 286.028, 10.2776, 284.117, -109.975, 283.349, 130.279, 0, 0, 2244.95, -141.668, 2260.05, 98.0794, 2266.17, -21.6662, 28.7414, -162.629
0, 5.00000, 287.058, 10.7152, 285.043, -109.536, 284.236, 130.733, 0, 0, 2349.47, -142.112, 2366.07, 97.6368, 2372.79, -22.0948, 31.4171, -161.939
0, 6.00000, 288.211, 11.2488, 286.074, -109, 285.215, 131.286, 0, 0, 2476.46, -142.476, 2494.96, 97.2757, 2502.48, -22.4388, 34.8441, -161.097
0, 7.00000, 289.246, 11.2897, 287.059, -108.95, 286.211, 131.339, 0, 0, 2498.44, -143.408, 2517.48, 96.3532, 2524.94, -23.3587, 35.3726, -160.947
0, 8.00000, 290.293, 11.3267, 288.055, -108.903, 287.218, 131.387, 0, 0, 2520.48, -144.338, 2540.06, 95.4317, 2547.46, -24.2776, 35.9064, -160.799
0, 9.00000, 291.248, 11.1277, 288.997, -109.091, 288.202, 131.196, 0, 0, 2492.29, -145.571, 2511.7, 94.2111, 2518.63, -25.5027, 35.0016, -160.989
0, 10.00000, 292.172, 10.9351, 289.908, -109.272, 289.153, 131.01, 0, 0, 2465.8, -146.788, 2485.06, 93.0052, 2491.55, -26.7128, 34.1644, -161.171
0, 11.00000, 293.045, 10.753, 290.769, -109.443, 290.05, 130.835, 0, 0, 2441.54, -147.961, 2460.65, 91.8434, 2466.74, -27.8785, 33.4073, -161.343
0, 12.00000, 293.827, 10.3364, 291.575, -109.846, 290.922, 130.422, 0, 0, 2367.83, -149.558, 2386.11, 90.2598, 2391.48, -29.4726, 31.3319, -161.847
0, 13.00000, 294.389, 9.19846, 292.272, -110.959, 291.765, 129.279, 0, 0, 2143.45, -152.766, 2158.97, 87.0769, 2162.73, -32.6852, 25.6038, -163.354
0, 14.00000, 295.039, 9.06333, 292.914, -111.086, 292.431, 129.15, 0, 0, 2128.08, -153.802, 2143.52, 86.0493, 2147.06, -33.7152, 25.1965, -163.477
0, 15.00000, 295.62, 8.9424, 293.489, -111.199, 293.028, 129.034, 0, 0, 2114.8, -154.742, 2130.16, 85.117, 2133.51, -34.6496, 24.8453, -163.59
0, 16.00000, 296.188, 8.82405, 294.05, -111.31, 293.611, 128.921, 0, 0, 2102.23, -155.672, 2117.51, 84.194, 2120.69, -35.5747, 24.5151, -163.699
0, 17.00000, 296.45, 7.47804, 294.492, -112.625, 294.2, 127.573, 0, 0, 1840.98, -160.272, 1853.23, 79.6244, 1855.06, -40.1769, 18.8019, -165.503
0, 18.00000, 296.581, 6.13766, 294.81, -113.932, 294.651, 126.236, 0, 0, 1588.65, -165.941, 1598.19, 73.9893, 1599.05, -45.8428, 14.0332, -167.317
0, 19.00000, 296.523, 4.81251, 294.95, -115.221, 294.907, 124.918, 0, 0, 1349.9, -173.061, 1357.1, 66.9059, 1357.29, -52.955, 10.1748, -169.174
0, 20.00000, 296.29, 3.49773, 294.924, -116.497, 294.982, 123.615, 0, 0, 1131.06, 177.579, 1136.29, 57.5839, 1136.07, -62.3045, 7.18014, -171.122
