hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 8101.21, 3.45277, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2852, 35.5124, -28.7148, 6.93033E-009, 91.2851
0, 2.00000, 8132.61, 3.22253, 8132.61, -116.777, 8132.61, 123.223, 0, 0, 34.0737, -153.427, 34.0737, 86.5731, 34.0737, -33.4269, 6.64955E-009, 86.573
0, 3.00000, 8149.06, 3.10163, 8149.06, -116.898, 8149.06, 123.102, 0, 0, 33.4072, -156.049, 33.4072, 83.9505, 33.4072, -36.0495, 6.5195E-009, 83.9505
0, 4.00000, 8166.86, 2.9706, 8166.86, -117.029, 8166.86, 122.971, 0, 0, 32.76, -159.002, 32.76, 80.9982, 32.76, -39.0018, 6.39319E-009, 80.998
0, 5.00000, 8180.97, 2.8666, 8180.97, -117.133, 8180.97, 122.867, 0, 0, 32.3049, -161.422, 32.3049, 78.5777, 32.3049, -41.4223, 6.30439E-009, 78.5777
0, 6.00000, 8193.53, 2.77388, 8193.53, -117.226, 8193.53, 122.774, 0, 0, 31.9451, -163.634, 31.9451, 76.3663, 31.9451, -43.6337, 6.23415E-009, 76.3662
0, 7.00000, 8204.19, 2.69506, 8204.19, -117.305, 8204.19, 122.695, 0, 0, 31.6743, -165.55, 31.6743, 74.4505, 31.6743, -45.5495, 6.1813E-009, 74.4503
0, 8.00000, 8213.41, 2.62686, 8213.41, -117.373, 8213.41, 122.627, 0, 0, 31.4668, -167.232, 31.4668, 72.7684, 31.4668, -47.2316, 6.14083E-009, 72.7684
0, 9.00000, 8221.31, 2.56833, 8221.31, -117.432, 8221.31, 122.568, 0, 0, 31.3089, -168.692, 31.3089, 71.3081, 31.3089, -48.6919, 6.11001E-009, 71.3081
0, 10.00000, 8228.11, 2.51796, 8228.11, -117.482, 8228.11, 122.518, 0, 0, 31.1883, -169.959, 31.1883, 70.0406, 31.1883, -49.9594, 6.08647E-009, 70.0405
0, 11.00000, 8234.05, 2.48213, 8234.05, -117.518, 8234.05, 122.482, 0, 0, 31.1597, -170.979, 31.1597, 69.0205, 31.1597, -50.9795, 6.0809E-009, 69.0205
0, 12.00000, 8239.11, 2.44455, 8239.11, -117.555, 8239.11, 122.445, 0, 0, 31.0875, -171.934, 31.0875, 68.0658, 31.0875, -51.9342, 6.0668E-009, 68.0658
0, 13.00000, 8243.47, 2.41219, 8243.47, -117.588, 8243.47, 122.412, 0, 0, 31.0318, -172.76, 31.0318, 67.2404, 31.0318, -52.7596, 6.05593E-009, 67.2403
0, 14.00000, 8246.89, 2.36214, 8246.89, -117.638, 8246.89, 122.362, 0, 0, 30.8027, -173.715, 30.8027, 66.2855, 30.8027, -53.7145, 6.01123E-009, 66.2854
0, 15.00000, 8249.52, 2.30977, 8249.52, -117.69, 8249.52, 122.31, 0, 0, 30.5265, -174.634, 30.5265, 65.3658, 30.5265, -54.6342, 5.95732E-009, 65.3657
0, 16.00000, 8251.87, 2.29226, 8251.87, -117.708, 8251.87, 122.292, 0, 0, 30.5062, -175.091, 30.5062, 64.9092, 30.5062, -55.0908, 5.95335E-009, 64.9091
0, 17.00000, 8254.17, 2.29982, 8254.17, -117.7, 8254.17, 122.3, 0, 0, 30.6728, -175.218, 30.6728, 64.7817, 30.6728, -55.2183, 5.98588E-009, 64.7817
0, 18.00000, 8256.26, 2.30073, 8256.26, -117.699, 8256.26, 122.301, 0, 0, 30.7796, -175.409, 30.7796, 64.5907, 30.7796, -55.4093, 6.0067E-009, 64.5907
0, 19.00000, 8258.12, 2.29514, 8258.12, -117.705, 8258.12, 122.295, 0, 0, 30.8271, -175.66, 30.8271, 64.3396, 30.8271, -55.6604, 6.01598E-009, 64.3396
0, 20.00000, 8259.58, 2.27603, 8259.58, -117.724, 8259.58, 122.276, 0, 0, 30.7558, -176.049, 30.7558, 63.9512, 30.7558, -56.0488, 6.00205E-009, 63.9511
