hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -254.412, 134.32, -254.412, 134.32, -254.412, 134.32, 0, 0
0, 2.00000, -254.412, 109.833, -254.412, 109.833, -254.412, 109.833, 0, 0
0, 3.00000, -254.412, 96.8906, -254.412, 96.8906, -254.412, 96.8906, 0, 0
0, 4.00000, -254.412, 82.7989, -254.412, 82.7989, -254.412, 82.7989, 0, 0
0, 5.00000, -254.412, 71.565, -254.412, 71.565, -254.412, 71.565, 0, 0
0, 6.00000, -254.412, 61.5132, -254.412, 61.5132, -254.412, 61.5132, 0, 0
0, 7.00000, -254.412, 52.9428, -254.412, 52.9428, -254.412, 52.9428, 0, 0
0, 8.00000, -254.412, 45.5078, -254.412, 45.5078, -254.412, 45.5078, 0, 0
0, 9.00000, -254.412, 39.1111, -254.412, 39.1111, -254.412, 39.1111, 0, 0
0, 10.00000, -254.412, 33.5964, -254.412, 33.5964, -254.412, 33.5964, 0, 0
0, 11.00000, -254.902, 29.2154, -254.902, 29.2154, -254.902, 29.2154, 0, 0
0, 12.00000, -254.902, 25.0889, -254.902, 25.0889, -254.902, 25.0889, 0, 0
0, 13.00000, -254.902, 21.5311, -254.902, 21.5311, -254.902, 21.5311, 0, 0
0, 14.00000, -253.431, 17.3809, -253.431, 17.3809, -253.431, 17.3809, 0, 0
0, 15.00000, -251.471, 13.4256, -251.471, 13.4256, -251.471, 13.4256, 0, 0
0, 16.00000, -251.471, 11.4937, -251.471, 11.4937, -251.471, 11.4937, 0, 0
0, 17.00000, -252.941, 10.9635, -252.941, 10.9635, -252.941, 10.9635, 0, 0
0, 18.00000, -253.922, 10.1542, -253.922, 10.1542, -253.922, 10.1542, 0, 0
0, 19.00000, -254.412, 9.08186, -254.412, 9.08186, -254.412, 9.08186, 0, 0
0, 20.00000, -253.922, 7.42598, -253.922, 7.42598, -253.922, 7.42598, 0, 0
