hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -254.412, 123.532, -254.412, 123.532, -254.412, 123.532, 0, 0
0, 2.00000, -254.412, 123.535, -254.412, 123.535, -254.412, 123.535, 0, 0
0, 3.00000, -254.412, 123.536, -254.412, 123.536, -254.412, 123.536, 0, 0
0, 4.00000, -254.412, 123.538, -254.412, 123.538, -254.412, 123.538, 0, 0
0, 5.00000, -254.412, 123.539, -254.412, 123.539, -254.412, 123.539, 0, 0
0, 6.00000, -254.412, 123.539, -254.412, 123.539, -254.412, 123.539, 0, 0
0, 7.00000, -254.412, 123.54, -254.412, 123.54, -254.412, 123.54, 0, 0
0, 8.00000, -254.412, 123.54, -254.412, 123.54, -254.412, 123.54, 0, 0
0, 9.00000, -254.412, 123.54, -254.412, 123.54, -254.412, 123.54, 0, 0
0, 10.00000, -254.412, 123.54, -254.412, 123.54, -254.412, 123.54, 0, 0
0, 11.00000, -254.902, 123.885, -254.902, 123.885, -254.902, 123.885, 0, 0
0, 12.00000, -254.902, 123.859, -254.902, 123.859, -254.902, 123.859, 0, 0
0, 13.00000, -254.902, 123.826, -254.902, 123.826, -254.902, 123.826, 0, 0
0, 14.00000, -253.431, 122.776, -253.431, 122.776, -253.431, 122.776, 0, 0
0, 15.00000, -251.471, 121.461, -251.471, 121.461, -251.471, 121.461, 0, 0
0, 16.00000, -251.471, 121.655, -251.471, 121.655, -251.471, 121.655, 0, 0
0, 17.00000, -252.941, 122.866, -252.941, 122.866, -252.941, 122.866, 0, 0
0, 18.00000, -253.922, 123.581, -253.922, 123.581, -253.922, 123.581, 0, 0
0, 19.00000, -254.412, 123.854, -254.412, 123.854, -254.412, 123.854, 0, 0
0, 20.00000, -253.922, 123.419, -253.922, 123.419, -253.922, 123.419, 0, 0
