hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 8115.08, 3.35116, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8512, -150.748, 34.8512, 89.2519, 34.8512, -30.7481, 6.8013E-009, 89.2518
0, 2.00000, 8115.08, 3.35116, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8512, -150.748, 34.8512, 89.2519, 34.8512, -30.7481, 6.80131E-009, 89.2518
0, 3.00000, 8115.08, 3.35116, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8512, -150.748, 34.8512, 89.252, 34.8512, -30.7481, 6.8013E-009, 89.2519
0, 4.00000, 8115.08, 3.35116, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8512, -150.748, 34.8512, 89.252, 34.8512, -30.748, 6.8013E-009, 89.2519
0, 5.00000, 8115.08, 3.35116, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8513, -150.748, 34.8513, 89.252, 34.8513, -30.748, 6.80129E-009, 89.2518
0, 6.00000, 8115.08, 3.35117, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8513, -150.748, 34.8513, 89.252, 34.8513, -30.748, 6.8013E-009, 89.252
0, 7.00000, 8115.08, 3.35117, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8513, -150.748, 34.8513, 89.252, 34.8513, -30.748, 6.8013E-009, 89.252
0, 8.00000, 8115.08, 3.35117, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8513, -150.748, 34.8513, 89.252, 34.8513, -30.748, 6.80132E-009, 89.252
0, 9.00000, 8115.08, 3.35117, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8513, -150.748, 34.8513, 89.252, 34.8513, -30.748, 6.80132E-009, 89.2518
0, 10.00000, 8115.08, 3.35117, 8115.08, -116.649, 8115.08, 123.351, 0, 0, 34.8513, -150.748, 34.8513, 89.252, 34.8513, -30.748, 6.80131E-009, 89.2519
0, 11.00000, 8115.2, 3.35853, 8115.2, -116.641, 8115.2, 123.359, 0, 0, 34.9236, -150.721, 34.9236, 89.2787, 34.9236, -30.7213, 6.81542E-009, 89.2788
0, 12.00000, 8115.23, 3.35828, 8115.23, -116.642, 8115.23, 123.358, 0, 0, 34.9221, -150.726, 34.9221, 89.2738, 34.9221, -30.7262, 6.81514E-009, 89.2737
0, 13.00000, 8115.27, 3.35797, 8115.27, -116.642, 8115.27, 123.358, 0, 0, 34.9201, -150.733, 34.9201, 89.2674, 34.9201, -30.7326, 6.81475E-009, 89.2674
0, 14.00000, 8114.94, 3.33573, 8114.94, -116.664, 8114.94, 123.336, 0, 0, 34.702, -150.816, 34.702, 89.1838, 34.702, -30.8162, 6.77219E-009, 89.1837
0, 15.00000, 8114.39, 3.30688, 8114.39, -116.693, 8114.39, 123.307, 0, 0, 34.4163, -150.913, 34.4163, 89.0875, 34.4163, -30.9125, 6.71641E-009, 89.0874
0, 16.00000, 8114.14, 3.30871, 8114.14, -116.691, 8114.14, 123.309, 0, 0, 34.4278, -150.875, 34.4278, 89.1252, 34.4278, -30.8748, 6.71866E-009, 89.1252
0, 17.00000, 8114.27, 3.33246, 8114.27, -116.668, 8114.27, 123.332, 0, 0, 34.6554, -150.759, 34.6554, 89.2405, 34.6554, -30.7595, 6.76309E-009, 89.2403
0, 18.00000, 8114.47, 3.34743, 8114.47, -116.653, 8114.47, 123.347, 0, 0, 34.8018, -150.701, 34.8018, 89.2992, 34.8018, -30.7008, 6.79164E-009, 89.2991
0, 19.00000, 8114.68, 3.35411, 8114.68, -116.646, 8114.68, 123.354, 0, 0, 34.8699, -150.688, 34.8699, 89.312, 34.8699, -30.688, 6.80494E-009, 89.312
0, 20.00000, 8114.68, 3.3459, 8114.68, -116.654, 8114.68, 123.346, 0, 0, 34.7921, -150.732, 34.7921, 89.268, 34.7921, -30.732, 6.78976E-009, 89.2679
