hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54953E-009, 84.5886
0, 2.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54953E-009, 84.5886
0, 3.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54953E-009, 84.5886
0, 4.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54954E-009, 84.5886
0, 5.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54952E-009, 84.5885
0, 6.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54954E-009, 84.5885
0, 7.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54953E-009, 84.5886
0, 8.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54954E-009, 84.5886
0, 9.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54954E-009, 84.5886
0, 10.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54952E-009, 84.5885
0, 11.00000, 8145.68, 3.13474, 8145.68, -116.865, 8145.68, 123.135, 0, 0, 33.6148, -155.445, 33.6148, 84.5552, 33.6148, -35.4448, 6.56002E-009, 84.5552
0, 12.00000, 8145.68, 3.13474, 8145.68, -116.865, 8145.68, 123.135, 0, 0, 33.6148, -155.445, 33.6148, 84.5552, 33.6148, -35.4448, 6.56001E-009, 84.5551
0, 13.00000, 8145.68, 3.13474, 8145.68, -116.865, 8145.68, 123.135, 0, 0, 33.6148, -155.445, 33.6148, 84.5552, 33.6148, -35.4448, 6.56002E-009, 84.5552
0, 14.00000, 8144, 3.12238, 8144, -116.878, 8144, 123.122, 0, 0, 33.4537, -155.344, 33.4537, 84.6558, 33.4537, -35.3442, 6.52856E-009, 84.6558
0, 15.00000, 8141.77, 3.1059, 8141.77, -116.894, 8141.77, 123.106, 0, 0, 33.239, -155.208, 33.239, 84.7917, 33.239, -35.2083, 6.48667E-009, 84.7917
0, 16.00000, 8141.77, 3.1059, 8141.77, -116.894, 8141.77, 123.106, 0, 0, 33.239, -155.208, 33.239, 84.7917, 33.239, -35.2083, 6.48666E-009, 84.7916
0, 17.00000, 8143.45, 3.11826, 8143.45, -116.882, 8143.45, 123.118, 0, 0, 33.4, -155.31, 33.4, 84.6896, 33.4, -35.3104, 6.51808E-009, 84.6895
0, 18.00000, 8144.56, 3.1265, 8144.56, -116.873, 8144.56, 123.127, 0, 0, 33.5074, -155.378, 33.5074, 84.6221, 33.5074, -35.3779, 6.53906E-009, 84.622
0, 19.00000, 8145.12, 3.13062, 8145.12, -116.869, 8145.12, 123.131, 0, 0, 33.5611, -155.411, 33.5611, 84.5886, 33.5611, -35.4114, 6.54952E-009, 84.5885
0, 20.00000, 8144.56, 3.1265, 8144.56, -116.873, 8144.56, 123.127, 0, 0, 33.5074, -155.378, 33.5074, 84.6221, 33.5074, -35.3779, 6.53906E-009, 84.622
