hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.22, 0.00154639, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.0215035, -89.9985, 0.0215035, 150.002, 0.0215035, 30.0015, 4.19646E-012, 150.001
2, 0.00000, 7967.3, 0.000993494, 7967.3, -119.999, 7967.3, 120.001, 0, 0, 0.0138151, -89.999, 0.0138151, 150.001, 0.0138151, 30.001, 2.69604E-012, 150.001
3, 0.00000, 7967.34, 0.000638289, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00887565, -89.9994, 0.00887565, 150.001, 0.00887565, 30.0006, 1.7321E-012, 150.001
4, 0.00000, 7967.38, 0.000410085, 7967.38, -120, 7967.38, 120, 0, 0, 0.00570229, -89.9996, 0.00570229, 150, 0.00570229, 30.0004, 1.11282E-012, 150
5, 0.00000, 7967.39, 0.000328072, 7967.39, -120, 7967.39, 120, 0, 0, 0.00456183, -89.9997, 0.00456183, 150, 0.00456183, 30.0003, 8.90251E-013, 150
6, 0.00000, 7967.4, 0.000262461, 7967.4, -120, 7967.4, 120, 0, 0, 0.00364946, -89.9997, 0.00364946, 150, 0.00364946, 30.0003, 7.122E-013, 150
7, 0.00000, 7967.4, 0.000209972, 7967.4, -120, 7967.4, 120, 0, 0, 0.00291956, -89.9998, 0.00291956, 150, 0.00291956, 30.0002, 5.69761E-013, 150
8, 0.00000, 7967.41, 0.000167982, 7967.41, -120, 7967.41, 120, 0, 0, 0.00233565, -89.9998, 0.00233565, 150, 0.00233565, 30.0002, 4.55807E-013, 150
9, 0.00000, 8022.76, 1.37842, 8022.76, -118.622, 8022.76, 121.378, 0, 0, 14.1519, -150.356, 14.1519, 89.6436, 14.1519, -30.3564, 2.76179E-009, 89.6435
10, 0.00000, 8061.52, 2.25319, 8061.52, -117.747, 8061.52, 122.253, 0, 0, 23.2562, -150.493, 23.2562, 89.5075, 23.2562, -30.4925, 4.5385E-009, 89.5075
11, 0.00000, 8159.06, 3.23321, 8159.06, -116.767, 8159.06, 123.233, 0, 0, 34.9048, -156.216, 34.9048, 83.7841, 34.9048, -36.2159, 6.81176E-009, 83.7839
12, 0.00000, 8194.29, 3.49518, 8194.29, -116.505, 8194.29, 123.495, 0, 0, 38.363, -157.958, 38.363, 82.0421, 38.363, -37.9579, 7.48663E-009, 82.0421
13, 0.00000, 8194.29, 3.49529, 8194.29, -116.505, 8194.29, 123.495, 0, 0, 38.3639, -157.957, 38.3639, 82.0431, 38.3639, -37.9569, 7.4868E-009, 82.0431
14, 0.00000, 8194.29, 3.49531, 8194.29, -116.505, 8194.29, 123.495, 0, 0, 38.3641, -157.957, 38.3641, 82.0433, 38.3641, -37.9567, 7.48685E-009, 82.0432
15, 0.00000, 8194.29, 3.49531, 8194.29, -116.505, 8194.29, 123.495, 0, 0, 38.3641, -157.957, 38.3641, 82.0434, 38.3641, -37.9566, 7.48684E-009, 82.0433
16, 0.00000, 8194.29, 3.4953, 8194.29, -116.505, 8194.29, 123.495, 0, 0, 38.3639, -157.957, 38.3639, 82.0434, 38.3639, -37.9566, 7.4868E-009, 82.0434
17, 0.00000, 8121.04, 2.953, 8121.04, -117.047, 8121.04, 122.953, 0, 0, 31.2594, -153.848, 31.2594, 86.1516, 31.2594, -33.8484, 6.10036E-009, 86.1515
18, 0.00000, 8041.73, 1.82173, 8041.73, -118.178, 8041.73, 121.822, 0, 0, 18.7465, -150.361, 18.7465, 89.639, 18.7465, -30.361, 3.65843E-009, 89.6389
19, 0.00000, 7967.26, 0.00128157, 7967.26, -119.999, 7967.26, 120.001, 0, 0, 0.0178209, -89.9987, 0.0178209, 150.001, 0.0178209, 30.0013, 3.4778E-012, 150.001
20, 0.00000, 7967.32, 0.000823362, 7967.32, -119.999, 7967.32, 120.001, 0, 0, 0.0114492, -89.9992, 0.0114492, 150.001, 0.0114492, 30.0008, 2.23434E-012, 150.001
21, 0.00000, 7967.36, 0.000528987, 7967.36, -119.999, 7967.36, 120.001, 0, 0, 0.00735571, -89.9995, 0.00735571, 150.001, 0.00735571, 30.0005, 1.43549E-012, 150
22, 0.00000, 7967.39, 0.000338557, 7967.39, -120, 7967.39, 120, 0, 0, 0.00470764, -89.9997, 0.00470764, 150, 0.00470764, 30.0003, 9.18707E-013, 150
23, 0.00000, 7967.4, 0.00027085, 7967.4, -120, 7967.4, 120, 0, 0, 0.00376611, -89.9997, 0.00376611, 150, 0.00376611, 30.0003, 7.34965E-013, 150
24, 0.00000, 7967.4, 0.000216683, 7967.4, -120, 7967.4, 120, 0, 0, 0.00301288, -89.9998, 0.00301288, 150, 0.00301288, 30.0002, 5.87972E-013, 150
