hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.48232E-018, 0.171323, -1.42109E-017, 0.171323, 1.42109E-017, 0.171323, 0, 0
2, 0.00000, -9.87274E-019, 0.110069, 0, 0.110069, 7.10543E-018, 0.110069, 0, 0
3, 0.00000, 3.61581E-019, 0.0707153, 1.06581E-017, 0.0707153, 1.06581E-017, 0.0707153, 0, 0
4, 0.00000, 3.87006E-018, 0.0454323, -7.10543E-018, 0.0454323, 0, 0.0454323, 0, 0
5, 0.00000, 4.77483E-019, 0.0363458, -1.77636E-018, 0.0363458, 0, 0.0363458, 0, 0
6, 0.00000, 1.39727E-018, 0.0290767, -3.55271E-018, 0.0290767, 3.55271E-018, 0.0290767, 0, 0
7, 0.00000, -1.30526E-018, 0.0232613, 0, 0.0232613, 0, 0.0232613, 0, 0
8, 0.00000, 1.73651E-018, 0.0186091, 1.77636E-018, 0.0186091, 0, 0.0186091, 0, 0
9, 0.00000, -100, 53.766, -100, 53.766, -100, 53.766, 0, 0
10, 0.00000, -166.667, 85.8547, -166.667, 85.8547, -166.667, 85.8547, 0, 0
11, 0.00000, -266.667, 99.9726, -266.667, 99.9726, -266.667, 99.9726, 0, 0
12, 0.00000, -298.031, 99.991, -298.031, 99.991, -298.031, 99.991, 0, 0
13, 0.00000, -298.037, 99.9981, -298.037, 99.9981, -298.037, 99.9981, 0, 0
14, 0.00000, -298.038, 99.9996, -298.038, 99.9996, -298.038, 99.9996, 0, 0
15, 0.00000, -298.037, 99.9999, -298.037, 99.9999, -298.037, 99.9999, 0, 0
16, 0.00000, -298.036, 100, -298.036, 100, -298.036, 100, 0, 0
17, 0.00000, -233.333, 100, -233.333, 100, -233.333, 100, 0, 0
18, 0.00000, -133.333, 70.35, -133.333, 70.35, -133.333, 70.35, 0, 0
19, 0.00000, 3.5835E-018, 0.141984, 0, 0.141984, -7.10543E-018, 0.141984, 0, 0
20, 0.00000, 6.77041E-018, 0.0912197, -1.42109E-017, 0.0912197, -7.10543E-018, 0.0912197, 0, 0
21, 0.00000, 4.02608E-018, 0.0586056, 3.55271E-018, 0.0586056, -3.55271E-018, 0.0586056, 0, 0
22, 0.00000, 8.41232E-019, 0.0375076, 3.55271E-018, 0.0375076, 0, 0.0375076, 0, 0
23, 0.00000, 1.5847E-018, 0.0300061, -1.77636E-018, 0.0300061, 1.77636E-018, 0.0300061, 0, 0
24, 0.00000, 6.49071E-019, 0.0240049, 0, 0.0240049, -1.77636E-018, 0.0240049, 0, 0
