hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.22, 0.00154639, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.0215035, -89.9985, 0.0215035, 150.002, 0.0215035, 30.0015, 4.19646E-012, 150.001
2, 0.00000, 7967.3, 0.000993494, 7967.3, -119.999, 7967.3, 120.001, 0, 0, 0.0138151, -89.999, 0.0138151, 150.001, 0.0138151, 30.001, 2.69604E-012, 150.001
3, 0.00000, 7967.34, 0.000638289, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00887565, -89.9994, 0.00887565, 150.001, 0.00887565, 30.0006, 1.7321E-012, 150.001
4, 0.00000, 7967.38, 0.000410085, 7967.38, -120, 7967.38, 120, 0, 0, 0.00570229, -89.9996, 0.00570229, 150, 0.00570229, 30.0004, 1.11282E-012, 150
5, 0.00000, 7967.39, 0.000328072, 7967.39, -120, 7967.39, 120, 0, 0, 0.00456183, -89.9997, 0.00456183, 150, 0.00456183, 30.0003, 8.90251E-013, 150
6, 0.00000, 7967.4, 0.000262461, 7967.4, -120, 7967.4, 120, 0, 0, 0.00364946, -89.9997, 0.00364946, 150, 0.00364946, 30.0003, 7.122E-013, 150
7, 0.00000, 7967.4, 0.000209972, 7967.4, -120, 7967.4, 120, 0, 0, 0.00291956, -89.9998, 0.00291956, 150, 0.00291956, 30.0002, 5.69761E-013, 150
8, 0.00000, 7967.41, 0.000167982, 7967.41, -120, 7967.41, 120, 0, 0, 0.00233565, -89.9998, 0.00233565, 150, 0.00233565, 30.0002, 4.55807E-013, 150
9, 0.00000, 8021.78, 1.38552, 8021.78, -118.614, 8021.78, 121.386, 0, 0, 14.1996, -150.007, 14.1996, 89.9931, 14.1996, -30.0069, 2.77108E-009, 89.993
10, 0.00000, 8056.71, 2.2882, 8056.71, -117.712, 8056.71, 122.288, 0, 0, 23.4879, -149.443, 23.4879, 90.5568, 23.4879, -29.4432, 4.58372E-009, 90.5567
11, 0.00000, 8073.81, 2.73358, 8073.81, -117.266, 8073.81, 122.734, 0, 0, 28.0815, -149.166, 28.0815, 90.8336, 28.0815, -29.1664, 5.48017E-009, 90.8335
12, 0.00000, 8073.81, 2.73363, 8073.81, -117.266, 8073.81, 122.734, 0, 0, 28.0818, -149.165, 28.0818, 90.8348, 28.0818, -29.1652, 5.48024E-009, 90.8347
13, 0.00000, 8073.8, 2.73365, 8073.8, -117.266, 8073.8, 122.734, 0, 0, 28.082, -149.165, 28.082, 90.8354, 28.082, -29.1646, 5.48026E-009, 90.8354
14, 0.00000, 8073.8, 2.73367, 8073.8, -117.266, 8073.8, 122.734, 0, 0, 28.0821, -149.164, 28.0821, 90.8358, 28.0821, -29.1642, 5.48029E-009, 90.8357
15, 0.00000, 8073.8, 2.73367, 8073.8, -117.266, 8073.8, 122.734, 0, 0, 28.0821, -149.164, 28.0821, 90.836, 28.0821, -29.164, 5.48028E-009, 90.8359
16, 0.00000, 8073.8, 2.73368, 8073.8, -117.266, 8073.8, 122.734, 0, 0, 28.0822, -149.164, 28.0822, 90.8361, 28.0822, -29.1639, 5.4803E-009, 90.836
17, 0.00000, 8073.8, 2.73368, 8073.8, -117.266, 8073.8, 122.734, 0, 0, 28.0822, -149.164, 28.0822, 90.8361, 28.0822, -29.1639, 5.4803E-009, 90.836
18, 0.00000, 8039.35, 1.83902, 8039.35, -118.161, 8039.35, 121.839, 0, 0, 18.8618, -149.718, 18.8618, 90.2817, 18.8618, -29.7183, 3.68093E-009, 90.2816
19, 0.00000, 7967.25, 0.00131526, 7967.25, -119.999, 7967.25, 120.001, 0, 0, 0.0182894, -89.9987, 0.0182894, 150.001, 0.0182894, 30.0013, 3.56922E-012, 150.001
20, 0.00000, 7967.32, 0.000845006, 7967.32, -119.999, 7967.32, 120.001, 0, 0, 0.0117502, -89.9992, 0.0117502, 150.001, 0.0117502, 30.0008, 2.29308E-012, 150.001
21, 0.00000, 7967.36, 0.000542892, 7967.36, -119.999, 7967.36, 120.001, 0, 0, 0.00754907, -89.9995, 0.00754907, 150.001, 0.00754907, 30.0005, 1.47322E-012, 150
22, 0.00000, 7967.39, 0.000347457, 7967.39, -120, 7967.39, 120, 0, 0, 0.00483139, -89.9996, 0.00483139, 150, 0.00483139, 30.0003, 9.42859E-013, 150
23, 0.00000, 7967.4, 0.000277969, 7967.4, -120, 7967.4, 120, 0, 0, 0.00386511, -89.9997, 0.00386511, 150, 0.00386511, 30.0003, 7.54285E-013, 150
24, 0.00000, 7967.4, 0.000222379, 7967.4, -120, 7967.4, 120, 0, 0, 0.00309208, -89.9998, 0.00309208, 150, 0.00309208, 30.0002, 6.03427E-013, 150
