hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.22, 0.00154639, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.0215035, -89.9985, 0.0215035, 150.002, 0.0215035, 30.0015, 4.19646E-012, 150.001
2, 0.00000, 7967.3, 0.000993494, 7967.3, -119.999, 7967.3, 120.001, 0, 0, 0.0138151, -89.999, 0.0138151, 150.001, 0.0138151, 30.001, 2.69604E-012, 150.001
3, 0.00000, 7967.34, 0.000638289, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00887565, -89.9994, 0.00887565, 150.001, 0.00887565, 30.0006, 1.7321E-012, 150.001
4, 0.00000, 7967.38, 0.000410085, 7967.38, -120, 7967.38, 120, 0, 0, 0.00570229, -89.9996, 0.00570229, 150, 0.00570229, 30.0004, 1.11282E-012, 150
5, 0.00000, 7967.39, 0.000328072, 7967.39, -120, 7967.39, 120, 0, 0, 0.00456183, -89.9997, 0.00456183, 150, 0.00456183, 30.0003, 8.90251E-013, 150
6, 0.00000, 7967.4, 0.000262461, 7967.4, -120, 7967.4, 120, 0, 0, 0.00364946, -89.9997, 0.00364946, 150, 0.00364946, 30.0003, 7.122E-013, 150
7, 0.00000, 7967.4, 0.000209972, 7967.4, -120, 7967.4, 120, 0, 0, 0.00291956, -89.9998, 0.00291956, 150, 0.00291956, 30.0002, 5.69761E-013, 150
8, 0.00000, 7967.41, 0.000167982, 7967.41, -120, 7967.41, 120, 0, 0, 0.00233565, -89.9998, 0.00233565, 150, 0.00233565, 30.0002, 4.55807E-013, 150
9, 0.00000, 8021.78, 1.38552, 8021.78, -118.614, 8021.78, 121.386, 0, 0, 14.1996, -150.007, 14.1996, 89.9931, 14.1996, -30.0069, 2.77108E-009, 89.993
10, 0.00000, 8056.71, 2.2882, 8056.71, -117.712, 8056.71, 122.288, 0, 0, 23.4879, -149.443, 23.4879, 90.5568, 23.4879, -29.4432, 4.58372E-009, 90.5567
11, 0.00000, 8107.31, 3.61333, 8107.31, -116.387, 8107.31, 123.613, 0, 0, 37.174, -148.616, 37.174, 91.3844, 37.174, -28.6156, 7.25458E-009, 91.3843
12, 0.00000, 8123.71, 4.04789, 8123.71, -115.952, 8123.71, 124.048, 0, 0, 41.6743, -148.343, 41.6743, 91.6569, 41.6743, -28.3431, 8.13285E-009, 91.6567
13, 0.00000, 8137.25, 4.40833, 8137.25, -115.592, 8137.25, 124.408, 0, 0, 45.4116, -148.117, 45.4116, 91.883, 45.4116, -28.117, 8.86219E-009, 91.883
14, 0.00000, 8137.23, 4.40897, 8137.23, -115.591, 8137.23, 124.409, 0, 0, 45.4174, -148.113, 45.4174, 91.8872, 45.4174, -28.1128, 8.86331E-009, 91.8871
15, 0.00000, 8137.23, 4.40891, 8137.23, -115.591, 8137.23, 124.409, 0, 0, 45.4168, -148.113, 45.4168, 91.8867, 45.4168, -28.1132, 8.86319E-009, 91.8867
16, 0.00000, 8123.69, 4.04806, 8123.69, -115.952, 8123.69, 124.048, 0, 0, 41.6755, -148.34, 41.6755, 91.6598, 41.6755, -28.3403, 8.13306E-009, 91.6596
17, 0.00000, 8090.65, 3.17547, 8090.65, -116.825, 8090.65, 123.175, 0, 0, 32.6446, -148.886, 32.6446, 91.1142, 32.6446, -28.8858, 6.37068E-009, 91.1142
18, 0.00000, 8039.34, 1.83905, 8039.34, -118.161, 8039.34, 121.839, 0, 0, 18.862, -149.717, 18.862, 90.2829, 18.862, -29.7171, 3.68097E-009, 90.2829
19, 0.00000, 7967.25, 0.00131532, 7967.25, -119.999, 7967.25, 120.001, 0, 0, 0.0182902, -89.9987, 0.0182902, 150.001, 0.0182902, 30.0013, 3.56939E-012, 150.001
20, 0.00000, 7967.32, 0.000845044, 7967.32, -119.999, 7967.32, 120.001, 0, 0, 0.0117507, -89.9992, 0.0117507, 150.001, 0.0117507, 30.0008, 2.29319E-012, 150.001
21, 0.00000, 7967.36, 0.000542917, 7967.36, -119.999, 7967.36, 120.001, 0, 0, 0.00754942, -89.9995, 0.00754942, 150.001, 0.00754942, 30.0005, 1.47329E-012, 150
22, 0.00000, 7967.39, 0.000347472, 7967.39, -120, 7967.39, 120, 0, 0, 0.00483161, -89.9996, 0.00483161, 150, 0.00483161, 30.0003, 9.429E-013, 150
23, 0.00000, 7967.4, 0.000277981, 7967.4, -120, 7967.4, 120, 0, 0, 0.00386528, -89.9997, 0.00386528, 150, 0.00386528, 30.0003, 7.54319E-013, 150
24, 0.00000, 7967.4, 0.000222389, 7967.4, -120, 7967.4, 120, 0, 0, 0.00309222, -89.9998, 0.00309222, 150, 0.00309222, 30.0002, 6.03455E-013, 150
