hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.48232E-018, 0.171323, -1.42109E-017, 0.171323, 1.42109E-017, 0.171323, 0, 0
2, 0.00000, -9.87274E-019, 0.110069, 0, 0.110069, 7.10543E-018, 0.110069, 0, 0
3, 0.00000, 3.61581E-019, 0.0707153, 1.06581E-017, 0.0707153, 1.06581E-017, 0.0707153, 0, 0
4, 0.00000, 3.87006E-018, 0.0454323, -7.10543E-018, 0.0454323, 0, 0.0454323, 0, 0
5, 0.00000, 4.77483E-019, 0.0363458, -1.77636E-018, 0.0363458, 0, 0.0363458, 0, 0
6, 0.00000, 1.39727E-018, 0.0290767, -3.55271E-018, 0.0290767, 3.55271E-018, 0.0290767, 0, 0
7, 0.00000, -1.30526E-018, 0.0232613, 0, 0.0232613, 0, 0.0232613, 0, 0
8, 0.00000, 1.73651E-018, 0.0186091, 1.77636E-018, 0.0186091, 0, 0.0186091, 0, 0
9, 0.00000, -100, 54.539, -100, 54.539, -100, 54.539, 0, 0
10, 0.00000, -166.667, 89.623, -166.667, 89.623, -166.667, 89.623, 0, 0
11, 0.00000, -266.667, 140.425, -266.667, 140.425, -266.667, 140.425, 0, 0
12, 0.00000, -300, 156.896, -300, 156.896, -300, 156.896, 0, 0
13, 0.00000, -327.849, 170.483, -327.849, 170.483, -327.849, 170.483, 0, 0
14, 0.00000, -327.879, 170.525, -327.879, 170.525, -327.879, 170.525, 0, 0
15, 0.00000, -327.876, 170.52, -327.876, 170.52, -327.876, 170.52, 0, 0
16, 0.00000, -300, 156.914, -300, 156.914, -300, 156.914, 0, 0
17, 0.00000, -233.333, 123.746, -233.333, 123.746, -233.333, 123.746, 0, 0
18, 0.00000, -133.333, 72.2249, -133.333, 72.2249, -133.333, 72.2249, 0, 0
19, 0.00000, 9.74134E-018, 0.145723, -7.10543E-018, 0.145723, 0, 0.145723, 0, 0
20, 0.00000, 1.79934E-018, 0.0936219, 0, 0.0936219, -7.10543E-018, 0.0936219, 0, 0
21, 0.00000, 3.54968E-018, 0.0601489, 3.55271E-018, 0.0601489, -7.10543E-018, 0.0601489, 0, 0
22, 0.00000, 1.18544E-018, 0.0384953, 3.55271E-018, 0.0384953, 0, 0.0384953, 0, 0
23, 0.00000, -7.275E-019, 0.0307962, -3.55271E-018, 0.0307962, 5.32907E-018, 0.0307962, 0, 0
24, 0.00000, 2.70884E-018, 0.024637, -1.77636E-018, 0.024637, 3.55271E-018, 0.024637, 0, 0
