hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.48232E-018, 0.171323, -1.42109E-017, 0.171323, 1.42109E-017, 0.171323, 0, 0
2, 0.00000, -9.87274E-019, 0.110069, 0, 0.110069, 7.10543E-018, 0.110069, 0, 0
3, 0.00000, 3.61581E-019, 0.0707153, 1.06581E-017, 0.0707153, 1.06581E-017, 0.0707153, 0, 0
4, 0.00000, 3.87006E-018, 0.0454323, -7.10543E-018, 0.0454323, 0, 0.0454323, 0, 0
5, 0.00000, 4.77483E-019, 0.0363458, -1.77636E-018, 0.0363458, 0, 0.0363458, 0, 0
6, 0.00000, 1.39727E-018, 0.0290767, -3.55271E-018, 0.0290767, 3.55271E-018, 0.0290767, 0, 0
7, 0.00000, -1.30526E-018, 0.0232613, 0, 0.0232613, 0, 0.0232613, 0, 0
8, 0.00000, 1.73651E-018, 0.0186091, 1.77636E-018, 0.0186091, 0, 0.0186091, 0, 0
9, 0.00000, -100, 54.539, -100, 54.539, -100, 54.539, 0, 0
10, 0.00000, -166.667, 89.623, -166.667, 89.623, -166.667, 89.623, 0, 0
11, 0.00000, -200, 106.79, -200, 106.79, -200, 106.79, 0, 0
12, 0.00000, -200, 106.795, -200, 106.795, -200, 106.795, 0, 0
13, 0.00000, -200, 106.798, -200, 106.798, -200, 106.798, 0, 0
14, 0.00000, -200, 106.8, -200, 106.8, -200, 106.8, 0, 0
15, 0.00000, -200, 106.8, -200, 106.8, -200, 106.8, 0, 0
16, 0.00000, -200, 106.801, -200, 106.801, -200, 106.801, 0, 0
17, 0.00000, -200, 106.801, -200, 106.801, -200, 106.801, 0, 0
18, 0.00000, -133.333, 72.2216, -133.333, 72.2216, -133.333, 72.2216, 0, 0
19, 0.00000, -1.40504E-017, 0.145716, 3.55271E-017, 0.145716, -7.10543E-018, 0.145716, 0, 0
20, 0.00000, 1.75402E-018, 0.0936176, 0, 0.0936176, 0, 0.0936176, 0, 0
21, 0.00000, -1.31319E-018, 0.0601462, 3.55271E-018, 0.0601462, -3.55271E-018, 0.0601462, 0, 0
22, 0.00000, -1.92232E-018, 0.0384936, -7.10543E-018, 0.0384936, -3.55271E-018, 0.0384936, 0, 0
23, 0.00000, 1.75795E-018, 0.0307948, -1.77636E-018, 0.0307948, 0, 0.0307948, 0, 0
24, 0.00000, 7.20086E-019, 0.0246359, -1.77636E-018, 0.0246359, 0, 0.0246359, 0, 0
