hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.48232E-018, 0.171323, -1.42109E-017, 0.171323, 1.42109E-017, 0.171323, 0, 0
2, 0.00000, 3.11253E-018, 0.0918161, 0, 0.0918161, -7.10543E-018, 0.0918161, 0, 0
3, 0.00000, 6.41739E-019, 0.0540756, 1.06581E-017, 0.0540756, -7.10543E-018, 0.0540756, 0, 0
4, 0.00000, -3.2976E-019, 0.0363122, 0, 0.0363122, 0, 0.0363122, 0, 0
5, 0.00000, 1.39212E-018, 0.0290497, 0, 0.0290497, 0, 0.0290497, 0, 0
6, 0.00000, 2.4461E-018, 0.0232398, 0, 0.0232398, -3.55271E-018, 0.0232398, 0, 0
7, 0.00000, -1.26713E-018, 0.0185918, -1.77636E-018, 0.0185918, 1.77636E-018, 0.0185918, 0, 0
8, 0.00000, -1.1049E-018, 0.0148735, 4.44089E-018, 0.0148735, 0, 0.0148735, 0, 0
9, 0.00000, -100, 43.1391, -100, 43.1391, -100, 43.1391, 0, 0
10, 0.00000, -166.667, 46.5912, -166.667, 46.5912, -166.667, 46.5912, 0, 0
11, 0.00000, -266.667, 60.2571, -266.667, 60.2571, -266.667, 60.2571, 0, 0
12, 0.00000, -300, 38.8212, -300, 38.8212, -300, 38.8212, 0, 0
13, 0.00000, -333.333, 29.2459, -333.333, 29.2459, -333.333, 29.2459, 0, 0
14, 0.00000, -333.333, 12.343, -333.333, 12.343, -333.333, 12.343, 0, 0
15, 0.00000, -330, 3.93256, -330, 3.93256, -330, 3.93256, 0, 0
16, 0.00000, -300, -9.77225, -300, -9.77225, -300, -9.77225, 0, 0
17, 0.00000, -233.333, -29.9865, -233.333, -29.9865, -233.333, -29.9865, 0, 0
18, 0.00000, -133.333, -52.8414, -133.333, -52.8414, -133.333, -52.8414, 0, 0
19, 0.00000, -6.70752E-015, -78.9052, 1.45519E-014, -78.9052, 7.27596E-015, -78.9052, 0, 0
20, 0.00000, -3.80851E-015, -34.0405, 0, -34.0405, 1.81899E-015, -34.0405, 0, 0
21, 0.00000, 1.40687E-015, -14.875, -9.09495E-016, -14.875, -1.81899E-015, -14.875, 0, 0
22, 0.00000, 5.32019E-016, -6.54437, 0, -6.54437, 4.54747E-016, -6.54437, 0, 0
23, 0.00000, 7.37188E-017, -2.88999, -2.27374E-016, -2.88999, -2.27374E-016, -2.88999, 0, 0
24, 0.00000, 8.32112E-017, -1.28482, 0, -1.28482, -1.13687E-016, -1.28482, 0, 0
