hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 2.25601E-018, 0.177974, 1.42109E-017, 0.177974, -1.42109E-017, 0.177974, 0, 0
2, 0.00000, -1.05116E-017, 0.118781, -7.10543E-018, 0.118781, -1.42109E-017, 0.118781, 0, 0
3, 0.00000, 6.72422E-018, 0.0792757, -7.10543E-018, 0.0792757, 0, 0.0792757, 0, 0
4, 0.00000, -3.63029E-018, 0.0529094, -3.55271E-018, 0.0529094, -3.55271E-018, 0.0529094, 0, 0
5, 0.00000, -1.13387E-018, 0.0270896, -3.55271E-018, 0.0270896, 5.32907E-018, 0.0270896, 0, 0
6, 0.00000, -1.31808E-018, 0.0216717, 1.77636E-018, 0.0216717, -1.77636E-018, 0.0216717, 0, 0
7, 0.00000, 1.76623E-019, 0.0173373, 8.88178E-019, 0.0173373, -8.88178E-019, 0.0173373, 0, 0
8, 0.00000, -2.16673E-018, 0.0138699, -8.88178E-019, 0.0138699, 0, 0.0138699, 0, 0
9, 0.00000, -100, 39.0342, -100, 39.0342, -100, 39.0342, 0, 0
10, 0.00000, -166.667, 64.193, -166.667, 64.193, -166.667, 64.193, 0, 0
11, 0.00000, -266.667, 100.7, -266.667, 100.7, -266.667, 100.7, 0, 0
12, 0.00000, -300, 112.563, -300, 112.563, -300, 112.563, 0, 0
13, 0.00000, -333.333, 47.2582, -333.333, 47.2582, -333.333, 47.2582, 0, 0
14, 0.00000, -333.333, 47.2582, -333.333, 47.2582, -333.333, 47.2582, 0, 0
15, 0.00000, -330, 66.6366, -330, 66.6366, -330, 66.6366, 0, 0
16, 0.00000, -300, 112.561, -300, 112.561, -300, 112.561, 0, 0
17, 0.00000, -233.333, 88.7198, -233.333, 88.7198, -233.333, 88.7198, 0, 0
18, 0.00000, -133.333, 51.7262, -133.333, 51.7262, -133.333, 51.7262, 0, 0
19, 0.00000, 9.13158E-018, 0.900601, -5.68434E-017, 0.900601, -1.7053E-016, 0.900601, 0, 0
20, 0.00000, 4.84127E-017, 0.601047, 5.68434E-017, 0.601047, 0, 0.601047, 0, 0
21, 0.00000, -5.97092E-018, 0.401135, -2.84217E-017, 0.401135, 0, 0.401135, 0, 0
22, 0.00000, -1.23269E-017, 0.267717, 0, 0.267717, 1.42109E-017, 0.267717, 0, 0
23, 0.00000, -2.32791E-017, 0.178675, 1.42109E-017, 0.178675, 0, 0.178675, 0, 0
24, 0.00000, 8.31193E-018, 0.119249, -1.42109E-017, 0.119249, 7.10543E-018, 0.119249, 0, 0
