hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.22, 0.00154639, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.0215035, -89.9985, 0.0215035, 150.002, 0.0215035, 30.0015, 4.19646E-012, 150.001
2, 0.00000, 7967.3, 0.000993494, 7967.3, -119.999, 7967.3, 120.001, 0, 0, 0.0138151, -89.999, 0.0138151, 150.001, 0.0138151, 30.001, 2.69604E-012, 150.001
3, 0.00000, 7967.34, 0.000638289, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00887565, -89.9994, 0.00887565, 150.001, 0.00887565, 30.0006, 1.7321E-012, 150.001
4, 0.00000, 7967.38, 0.000410085, 7967.38, -120, 7967.38, 120, 0, 0, 0.00570229, -89.9996, 0.00570229, 150, 0.00570229, 30.0004, 1.11282E-012, 150
5, 0.00000, 7967.39, 0.000328072, 7967.39, -120, 7967.39, 120, 0, 0, 0.00456183, -89.9997, 0.00456183, 150, 0.00456183, 30.0003, 8.90251E-013, 150
6, 0.00000, 7967.4, 0.000262461, 7967.4, -120, 7967.4, 120, 0, 0, 0.00364946, -89.9997, 0.00364946, 150, 0.00364946, 30.0003, 7.122E-013, 150
7, 0.00000, 7967.4, 0.000209972, 7967.4, -120, 7967.4, 120, 0, 0, 0.00291956, -89.9998, 0.00291956, 150, 0.00291956, 30.0002, 5.69761E-013, 150
8, 0.00000, 7967.41, 0.000167982, 7967.41, -120, 7967.41, 120, 0, 0, 0.00233565, -89.9998, 0.00233565, 150, 0.00233565, 30.0002, 4.55807E-013, 150
9, 0.00000, 8036.21, 1.28094, 8036.21, -118.719, 8036.21, 121.281, 0, 0, 13.5519, -155.387, 13.5519, 84.6127, 13.5519, -35.3873, 2.64467E-009, 84.6126
10, 0.00000, 8080.49, 2.11492, 8080.49, -117.885, 8080.49, 122.115, 0, 0, 22.4157, -154.833, 22.4157, 85.1669, 22.4157, -34.8331, 4.37448E-009, 85.1668
11, 0.00000, 8102.2, 2.5263, 8102.2, -117.474, 8102.2, 122.526, 0, 0, 26.7993, -154.56, 26.7993, 85.4399, 26.7993, -34.56, 5.22995E-009, 85.4399
12, 0.00000, 8102.19, 2.52636, 8102.19, -117.474, 8102.19, 122.526, 0, 0, 26.7997, -154.558, 26.7997, 85.4415, 26.7997, -34.5585, 5.23001E-009, 85.4414
13, 0.00000, 8102.18, 2.52639, 8102.18, -117.474, 8102.18, 122.526, 0, 0, 26.7999, -154.557, 26.7999, 85.4425, 26.7999, -34.5575, 5.23005E-009, 85.4425
14, 0.00000, 8102.18, 2.52642, 8102.18, -117.474, 8102.18, 122.526, 0, 0, 26.8, -154.557, 26.8, 85.4431, 26.8, -34.5569, 5.23009E-009, 85.443
15, 0.00000, 8102.18, 2.52643, 8102.18, -117.474, 8102.18, 122.526, 0, 0, 26.8001, -154.556, 26.8001, 85.4436, 26.8001, -34.5564, 5.2301E-009, 85.4435
16, 0.00000, 8102.18, 2.52644, 8102.18, -117.474, 8102.18, 122.526, 0, 0, 26.8001, -154.556, 26.8001, 85.4438, 26.8001, -34.5562, 5.23011E-009, 85.4437
17, 0.00000, 8102.18, 2.52645, 8102.18, -117.474, 8102.18, 122.526, 0, 0, 26.8002, -154.556, 26.8002, 85.444, 26.8002, -34.556, 5.23011E-009, 85.4438
18, 0.00000, 8058.46, 1.70011, 8058.46, -118.3, 8058.46, 121.7, 0, 0, 18.0017, -155.098, 18.0017, 84.9018, 18.0017, -35.0982, 3.51307E-009, 84.9018
19, 0.00000, 7967.29, 0.00104339, 7967.29, -119.999, 7967.29, 120.001, 0, 0, 0.0145089, -89.999, 0.0145089, 150.001, 0.0145089, 30.001, 2.83145E-012, 150.001
20, 0.00000, 7967.34, 0.000670346, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00932142, -89.9993, 0.00932142, 150.001, 0.00932142, 30.0007, 1.8191E-012, 150.001
21, 0.00000, 7967.37, 0.00043068, 7967.37, -120, 7967.37, 120, 0, 0, 0.00598868, -89.9996, 0.00598868, 150, 0.00598868, 30.0004, 1.16871E-012, 150
22, 0.00000, 7967.39, 0.000344548, 7967.39, -120, 7967.39, 120, 0, 0, 0.00479094, -89.9997, 0.00479094, 150, 0.00479094, 30.0003, 9.34964E-013, 150
23, 0.00000, 7967.4, 0.000275642, 7967.4, -120, 7967.4, 120, 0, 0, 0.00383275, -89.9997, 0.00383275, 150, 0.00383275, 30.0003, 7.47971E-013, 150
24, 0.00000, 7967.4, 0.000220517, 7967.4, -120, 7967.4, 120, 0, 0, 0.0030662, -89.9998, 0.0030662, 150, 0.0030662, 30.0002, 5.98375E-013, 150
