hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.22, 0.00154639, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.0215035, -89.9985, 0.0215035, 150.002, 0.0215035, 30.0015, 4.19646E-012, 150.001
2, 0.00000, 7967.3, 0.000993494, 7967.3, -119.999, 7967.3, 120.001, 0, 0, 0.0138151, -89.999, 0.0138151, 150.001, 0.0138151, 30.001, 2.69604E-012, 150.001
3, 0.00000, 7967.34, 0.000638289, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00887565, -89.9994, 0.00887565, 150.001, 0.00887565, 30.0006, 1.7321E-012, 150.001
4, 0.00000, 7967.38, 0.000410085, 7967.38, -120, 7967.38, 120, 0, 0, 0.00570229, -89.9996, 0.00570229, 150, 0.00570229, 30.0004, 1.11282E-012, 150
5, 0.00000, 7967.39, 0.000328072, 7967.39, -120, 7967.39, 120, 0, 0, 0.00456183, -89.9997, 0.00456183, 150, 0.00456183, 30.0003, 8.90251E-013, 150
6, 0.00000, 7967.4, 0.000262461, 7967.4, -120, 7967.4, 120, 0, 0, 0.00364946, -89.9997, 0.00364946, 150, 0.00364946, 30.0003, 7.12199E-013, 150
7, 0.00000, 7967.4, 0.000209972, 7967.4, -120, 7967.4, 120, 0, 0, 0.00291956, -89.9998, 0.00291956, 150, 0.00291956, 30.0002, 5.6976E-013, 150
8, 0.00000, 7967.41, 0.000167982, 7967.41, -120, 7967.41, 120, 0, 0, 0.00233565, -89.9998, 0.00233565, 150, 0.00233565, 30.0002, 4.55807E-013, 150
9, 0.00000, 8090.06, 0.889067, 8090.06, -119.111, 8090.06, 120.889, 0, 0, 12.3608, -179.102, 12.3608, 60.8976, 12.3608, -59.1024, 2.41225E-009, 60.8975
10, 0.00000, 8072.89, 2.17035, 8072.89, -117.83, 8072.89, 122.17, 0, 0, 22.7378, -153.056, 22.7378, 86.9442, 22.7378, -33.0558, 4.43734E-009, 86.9441
11, 0.00000, 8201.5, 2.92002, 8201.5, -117.08, 8201.5, 122.92, 0, 0, 33.5017, -163.136, 33.5017, 76.8644, 33.5017, -43.1356, 6.53792E-009, 76.8644
12, 0.00000, 8136.7, 3.95248, 8136.7, -116.048, 8136.7, 123.952, 0, 0, 41.0506, -149.965, 41.0506, 90.0353, 41.0506, -29.9647, 8.01113E-009, 90.0353
13, 0.00000, 8225.56, 3.84601, 8225.56, -116.154, 8225.56, 123.846, 0, 0, 42.5331, -158.474, 42.5331, 81.5263, 42.5331, -38.4737, 8.30044E-009, 81.5262
14, 0.00000, 8154.42, 4.37207, 8154.42, -115.628, 8154.42, 124.372, 0, 0, 45.4469, -149.715, 45.4469, 90.285, 45.4469, -29.715, 8.86907E-009, 90.285
15, 0.00000, 8207.81, 3.92276, 8207.81, -116.077, 8207.81, 123.923, 0, 0, 42.6733, -156.497, 42.6733, 83.503, 42.6733, -36.497, 8.32779E-009, 83.503
16, 0.00000, 8131.58, 3.99008, 8131.58, -116.01, 8131.58, 123.99, 0, 0, 41.2929, -149.32, 41.2929, 90.68, 41.2929, -29.32, 8.05841E-009, 90.68
17, 0.00000, 8117.15, 2.98147, 8117.15, -117.019, 8117.15, 122.981, 0, 0, 31.4243, -153.19, 31.4243, 86.8096, 31.4243, -33.1904, 6.13252E-009, 86.8096
18, 0.00000, 8011.49, 2.04094, 8011.49, -117.959, 8011.49, 122.041, 0, 0, 20.3623, -142.778, 20.3623, 97.2224, 20.3623, -22.7776, 3.97376E-009, 97.2223
19, 0.00000, 7932.46, 0.250925, 7932.46, -119.749, 7932.46, 120.251, 0, 0, 3.48931, -89.7491, 3.48931, 150.251, 3.48931, 30.2509, 6.80947E-010, 150.251
20, 0.00000, 7994.79, -0.197043, 7994.79, -120.197, 7994.79, 119.803, 0, 0, 2.74003, 89.803, 2.74003, -30.197, 2.74003, -150.197, 5.34723E-010, -30.1971
21, 0.00000, 7945.85, 0.155004, 7945.85, -119.845, 7945.85, 120.155, 0, 0, 2.15545, -89.845, 2.15545, 150.155, 2.15545, 30.155, 4.20642E-010, 150.155
22, 0.00000, 7984.33, -0.121653, 7984.33, -120.122, 7984.33, 119.878, 0, 0, 1.69168, 89.8783, 1.69168, -30.1217, 1.69168, -150.122, 3.30136E-010, -30.1216
23, 0.00000, 7954.14, 0.0955411, 7954.14, -119.904, 7954.14, 120.096, 0, 0, 1.32857, -89.9045, 1.32857, 150.096, 1.32857, 30.0955, 2.59274E-010, 150.095
24, 0.00000, 7977.84, -0.0748876, 7977.84, -120.075, 7977.84, 119.925, 0, 0, 1.04137, 89.9251, 1.04137, -30.0749, 1.04137, -150.075, 2.03227E-010, -30.075
