hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.48232E-018, 0.171323, -1.42109E-017, 0.171323, 1.42109E-017, 0.171323, 0, 0
2, 0.00000, -9.88142E-019, 0.110069, 0, 0.110069, 0, 0.110069, 0, 0
3, 0.00000, 3.61365E-019, 0.0707153, 3.55271E-018, 0.0707153, -7.10543E-018, 0.0707153, 0, 0
4, 0.00000, 2.02854E-019, 0.0454323, 0, 0.0454323, 0, 0.0454323, 0, 0
5, 0.00000, -2.45621E-018, 0.0363458, 0, 0.0363458, 3.55271E-018, 0.0363458, 0, 0
6, 0.00000, 1.39727E-018, 0.0290767, -1.77636E-018, 0.0290767, 3.55271E-018, 0.0290767, 0, 0
7, 0.00000, -1.30528E-018, 0.0232613, -1.77636E-018, 0.0232613, 0, 0.0232613, 0, 0
8, 0.00000, 2.34425E-019, 0.0186091, 0, 0.0186091, 1.77636E-018, 0.0186091, 0, 0
9, 0.00000, -100, 0.0148887, -100, 0.0148887, -100, 0.0148887, 0, 0
10, 0.00000, -166.667, 76.9185, -166.667, 76.9185, -166.667, 76.9185, 0, 0
11, 0.00000, -266.667, 66.2124, -266.667, 66.2124, -266.667, 66.2124, 0, 0
12, 0.00000, -300, 146.857, -300, 146.857, -300, 146.857, 0, 0
13, 0.00000, -333.333, 106.254, -333.333, 106.254, -333.333, 106.254, 0, 0
14, 0.00000, -333.333, 161.951, -333.333, 161.951, -333.333, 161.951, 0, 0
15, 0.00000, -330, 117.38, -330, 117.38, -330, 117.38, 0, 0
16, 0.00000, -300, 150.818, -300, 150.818, -300, 150.818, 0, 0
17, 0.00000, -233.333, 103.049, -233.333, 103.049, -233.333, 103.049, 0, 0
18, 0.00000, -133.333, 93.9918, -133.333, 93.9918, -133.333, 93.9918, 0, 0
19, 0.00000, 1.73372E-015, 27.6788, 1.81899E-015, 27.6788, -1.81899E-015, 27.6788, 0, 0
20, 0.00000, -4.83169E-016, -21.9059, -1.81899E-015, -21.9059, 0, -21.9059, 0, 0
21, 0.00000, 6.39488E-017, 17.1269, 1.81899E-015, 17.1269, 0, 17.1269, 0, 0
22, 0.00000, -2.34479E-016, -13.507, 0, -13.507, -1.81899E-015, -13.507, 0, 0
23, 0.00000, -1.10134E-016, 10.5677, 1.81899E-015, 10.5677, 0, 10.5677, 0, 0
24, 0.00000, -3.10862E-016, -8.3079, 0, -8.3079, 4.54747E-016, -8.3079, 0, 0
