hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 8049.82, 0.595572, 8049.82, -119.404, 8049.82, 120.596, 0, 0, 8.28176, -179.404, 8.28176, 60.5956, 8.28176, -59.4044, 1.61621E-009, 60.5955
9, 0.00000, 8090.08, 0.888932, 8090.08, -119.111, 8090.08, 120.889, 0, 0, 12.3608, -179.111, 12.3608, 60.8889, 12.3608, -59.1111, 2.41224E-009, 60.8888
10, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3948
11, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3947
12, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3947
13, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3947
14, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3947
15, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3947
16, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3947
17, 0.00000, 8159.02, 1.39483, 8159.02, -118.605, 8159.02, 121.395, 0, 0, 19.3943, -178.605, 19.3943, 61.3948, 19.3943, -58.6052, 3.78485E-009, 61.3947
18, 0.00000, 8129.75, 1.1795, 8129.75, -118.821, 8129.75, 121.179, 0, 0, 16.4007, -178.821, 16.4007, 61.1795, 16.4007, -58.8205, 3.20063E-009, 61.1794
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
