hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, -66.6667, -3.13619E-008, -66.6667, -3.13619E-008, -66.6667, -3.13619E-008, 0, 0
9, 0.00000, -100, -1.12101E-007, -100, -1.12101E-007, -100, -1.12101E-007, 0, 0
10, 0.00000, -166.667, -2.63997E-006, -166.667, -2.63997E-006, -166.667, -2.63997E-006, 0, 0
11, 0.00000, -200, -3.10373E-006, -200, -3.10373E-006, -200, -3.10373E-006, 0, 0
12, 0.00000, -200, -9.63064E-012, -200, -9.63337E-012, -200, -9.61882E-012, 0, 0
13, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
14, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
15, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
16, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
17, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
18, 0.00000, -133.333, 8.74919E-007, -133.333, 8.74919E-007, -133.333, 8.74919E-007, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
