hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, -66.6667, -3.13619E-008, -66.6667, -3.13619E-008, -66.6667, -3.13619E-008, 0, 0
9, 0.00000, -100, -1.12101E-007, -100, -1.12101E-007, -100, -1.12101E-007, 0, 0
10, 0.00000, -166.667, -2.63997E-006, -166.667, -2.63997E-006, -166.667, -2.63997E-006, 0, 0
11, 0.00000, -257.227, 3.45608E-014, -257.227, 1.45519E-014, -257.227, 2.91038E-014, 0, 0
12, 0.00000, -257.227, 5.45697E-015, -257.227, 2.91038E-014, -257.227, 4.36557E-014, 0, 0
13, 0.00000, -257.228, 5.45697E-015, -257.228, 1.45519E-014, -257.228, 2.91038E-014, 0, 0
14, 0.00000, -257.228, -1.09139E-014, -257.228, 2.91038E-014, -257.228, -1.45519E-014, 0, 0
15, 0.00000, -257.228, 0, -257.228, -2.91038E-014, -257.228, 0, 0, 0
16, 0.00000, -257.227, -1.45519E-014, -257.227, 4.36557E-014, -257.227, -4.36557E-014, 0, 0
17, 0.00000, -233.333, 4.52355E-006, -233.333, 4.52355E-006, -233.333, 4.52355E-006, 0, 0
18, 0.00000, -133.333, 1.30079E-006, -133.333, 1.30079E-006, -133.333, 1.30079E-006, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
