hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 8359.65, -1.11088, 8359.65, -121.111, 8359.65, 118.889, 0, 0, 29.9056, 112.467, 29.9056, -7.5327, 29.9056, -127.533, 5.83614E-009, -7.53275
10, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88853, 39.4832, -127.889, 7.70523E-009, -7.88856
11, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88854, 39.4832, -127.889, 7.70524E-009, -7.88856
12, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88854, 39.4832, -127.889, 7.70523E-009, -7.88862
13, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88854, 39.4832, -127.889, 7.70523E-009, -7.88862
14, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88854, 39.4832, -127.889, 7.70523E-009, -7.88862
15, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88854, 39.4832, -127.889, 7.70523E-009, -7.88862
16, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88854, 39.4832, -127.889, 7.70523E-009, -7.88862
17, 0.00000, 8484.63, -1.46672, 8484.63, -121.467, 8484.63, 118.533, 0, 0, 39.4832, 112.111, 39.4832, -7.88854, 39.4832, -127.889, 7.70523E-009, -7.88862
18, 0.00000, 8482.21, -1.45984, 8482.21, -121.46, 8482.21, 118.54, 0, 0, 39.2979, 112.118, 39.2979, -7.88166, 39.2979, -127.882, 7.66908E-009, -7.88158
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
