hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
9, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91958
10, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
11, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
12, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
13, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
14, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
15, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
16, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
17, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
18, 0.00000, 8143.52, -0.497669, 8143.52, -120.498, 8143.52, 119.502, 0, 0, 13.3982, 113.081, 13.3982, -6.91949, 13.3982, -126.919, 2.6147E-009, -6.91945
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
