hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, -100, 0, -100, 0, -100, 0, 0, 0
9, 0.00000, -150, -1.35525E-023, -150, 0, -150, 0, 0, 0
10, 0.00000, -250, 0, -250, 0, -250, -1.45519E-014, 0, 0
11, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
12, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
13, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
14, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
15, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
16, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
17, 0.00000, -350, 1.35525E-023, -350, -2.91038E-014, -350, 0, 0, 0
18, 0.00000, -200, 0, -200, 1.45519E-014, -200, -1.45519E-014, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
