hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, -80, -3.38813E-024, -80, 7.27596E-015, -80, 0, 0, 0
9, 0.00000, -120, 0, -120, 0, -120, 0, 0, 0
10, 0.00000, -200, 0, -200, 1.45519E-014, -200, -1.45519E-014, 0, 0
11, 0.00000, -320, 1.35525E-023, -320, 0, -320, 2.91038E-014, 0, 0
12, 0.00000, -360, 0, -360, -2.91038E-014, -360, 0, 0, 0
13, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
14, 0.00000, -400, 0, -400, 0, -400, 0, 0, 0
15, 0.00000, -396, 0, -396, -2.91038E-014, -396, -2.91038E-014, 0, 0
16, 0.00000, -360, 0, -360, -2.91038E-014, -360, 0, 0, 0
17, 0.00000, -280, 0, -280, 1.45519E-014, -280, 1.45519E-014, 0, 0
18, 0.00000, -160, 0, -160, 1.45519E-014, -160, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
