"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 14744.3163045719, 5673.55996524755, 14744.3163045719, 15798.2323684811, 133.549999358783, 333.522884189082, 133.549999358783
2, 13538.6366482481, 5246.2402402969, 14744.3163045719, 15798.2323684811, 124.367441904732, 319.970456710596, 133.549999358783
3, 12898.6610734863, 5048.93261154168, 14744.3163045719, 15798.2323684811, 129.195735467669, 325.468665435369, 133.549999358783
4, 12633.6522376853, 4972.4250501749, 14744.3163045719, 15798.2323684811, 131.406961714682, 328.11480128598, 133.549999358783
5, 12484.9236334977, 4915.49021214046, 14744.3163045719, 15798.2323684811, 130.528082354312, 326.701194925703, 133.549999358783
6, 12352.5920616133, 4890.43185568251, 14744.3163045719, 15798.2323684811, 134.15009990919, 331.394047145869, 134.15009990919
7, 12700.4718723935, 5003.83988438673, 14744.3163045719, 15798.2323684811, 133.792239953356, 331.332764475835, 134.15009990919
8, 13255.1311240182, 5201.84150777478, 14744.3163045719, 15798.2323684811, 135.319825602645, 334.16450688773, 135.319825602645
9, 14356.7000494798, 5561.75400369497, 14744.3163045719, 15798.2323684811, 133.210320870909, 332.813137935696, 135.319825602645
10, 15318.8708442258, 5869.0957015569, 15318.8708442258, 16404.697141249, 129.772542108572, 329.605416398338, 135.319825602645
11, 16415.3583866001, 6234.76384766706, 16415.3583866001, 17559.5065761171, 131.098300106049, 332.956099550549, 135.319825602645
12, 17567.7283626406, 6624.73273481792, 17567.7283626406, 18775.3072846038, 134.498352053736, 339.260349452089, 135.319825602645
13, 18325.4677240006, 6842.33230495037, 18325.4677240006, 19561.1931812647, 124.731412866738, 327.635555611246, 135.319825602645
14, 19342.4471249316, 7152.5380460408, 19342.4471249316, 20622.5377022528, 118.110528846172, 320.646950759995, 135.319825602645
15, 19308.6180992476, 7126.04645986062, 19342.4471249316, 20622.5377022528, 114.212449643451, 315.446317110064, 135.319825602645
16, 19515.0103892072, 7206.18368333513, 19515.0103892072, 20802.9977111192, 118.066566362449, 320.912281832854, 135.319825602645
17, 19426.7182982503, 7150.46984015841, 19515.0103892072, 20802.9977111192, 111.355295488892, 311.886880139198, 135.319825602645
18, 19333.7497401224, 7097.49842709509, 19515.0103892072, 20802.9977111192, 107.363136118795, 306.472554601999, 135.319825602645
19, 19442.3559090283, 7197.06090545019, 19515.0103892072, 20802.9977111192, 124.481010515093, 329.230085459212, 135.319825602645
20, 18749.2837927954, 6979.62789166074, 19515.0103892072, 20802.9977111192, 127.18007891822, 331.561166849439, 135.319825602645
21, 18823.6747237262, 6978.30830099455, 19515.0103892072, 20802.9977111192, 119.793624953753, 321.936445414061, 135.319825602645
22, 17961.6047868537, 6693.06081542973, 19515.0103892072, 20802.9977111192, 119.415441546866, 319.966044238402, 135.319825602645
23, 16308.4045887532, 6118.71875746548, 19515.0103892072, 20802.9977111192, 111.122978064297, 306.450824813777, 135.319825602645
24, 15078.8033933189, 5700.52489658316, 19515.0103892072, 20802.9977111192, 108.785892935367, 301.625836055107, 135.319825602645
25, 13806.4926811243, 5242.53016184076, 19515.0103892072, 20802.9977111192, 99.9139182292661, 288.337465015891, 135.319825602645
26, 13069.3532145282, 4988.27134398796, 19515.0103892072, 20802.9977111192, 97.9828391062693, 284.922917001903, 135.319825602645
27, 12474.6893153457, 4819.68047413535, 19515.0103892072, 20802.9977111192, 103.268597293414, 291.204918623126, 135.319825602645
28, 11978.5087939553, 4635.37061865769, 19515.0103892072, 20802.9977111192, 99.729421798443, 286.033913056525, 135.319825602645
29, 11809.2801364443, 4588.02226486097, 19515.0103892072, 20802.9977111192, 101.330522368108, 287.955314338087, 135.319825602645
30, 11617.4712557565, 4526.36301533753, 19515.0103892072, 20802.9977111192, 101.096508912919, 287.45879247581, 135.319825602645
31, 12308.0146005405, 4789.84894534042, 19515.0103892072, 20802.9977111192, 109.999699411918, 299.821895101296, 135.319825602645
32, 13005.0495788267, 5029.37554955783, 19515.0103892072, 20802.9977111192, 109.672063721111, 300.226125501091, 135.319825602645
33, 14441.2431398118, 5530.39687336617, 19515.0103892072, 20802.9977111192, 116.092748032561, 310.422453416353, 135.319825602645
34, 15553.9894908895, 5911.08645331872, 19515.0103892072, 20802.9977111192, 118.579332414752, 315.195035162379, 135.319825602645
35, 16875.6151847942, 6341.39077124818, 19515.0103892072, 20802.9977111192, 118.498172565646, 317.035555287922, 135.319825602645
36, 18045.2505816796, 6725.74738325675, 19515.0103892072, 20802.9977111192, 118.002350317834, 318.245167580402, 135.319825602645
37, 19128.9527324203, 7068.58738127052, 19515.0103892072, 20802.9977111192, 114.469623435691, 315.44183567859, 135.319825602645
38, 20217.5449661591, 7447.35332451376, 20217.5449661591, 21545.5841415082, 119.406338641524, 323.960934290936, 135.319825602645
39, 21032.8137275166, 7713.81448312677, 21032.8137275166, 22402.7272263113, 118.400207589277, 324.185192941087, 135.319825602645
40, 21647.2768374448, 7899.12425345943, 21647.2768374448, 23043.4537005321, 114.578784264636, 320.384463091256, 135.319825602645
41, 21939.1326815154, 7960.65366405536, 21939.1326815154, 23338.7563845243, 107.281308029014, 311.3415353152, 135.319825602645
42, 21858.4642975545, 7945.5894935183, 21939.1326815154, 23338.7563845243, 109.768395676893, 314.476451975957, 135.319825602645
43, 21410.5190942356, 7815.17286437971, 21939.1326815154, 23338.7563845243, 114.222091742957, 319.489787346685, 135.319825602645
