hour, t(sec), P1 (kW), P2 (kW), P3 (kW)
1, 0.00000, 1062.94, 932.734, 1022.16
2, 0.00000, 1002.22, 885.795, 961.298
3, 0.00000, 1016.14, 906.69, 980.365
4, 0.00000, 1035, 916.839, 1003.19
5, 0.00000, 1010.33, 913.144, 986.189
6, 0.00000, 1038.52, 937.918, 1026.2
7, 0.00000, 1048.28, 929.636, 1025.87
8, 0.00000, 1106.17, 947.783, 1042.37
9, 0.00000, 1108.34, 946.524, 1049.02
10, 0.00000, 1099.16, 932.048, 1043.53
11, 0.00000, 1111.06, 935.059, 1070.2
12, 0.00000, 1153.15, 955.961, 1077.27
13, 0.00000, 1105.44, 902.023, 1033.54
14, 0.00000, 1064.16, 865.678, 1002.55
15, 0.00000, 1046.33, 828.375, 983.429
16, 0.00000, 1049.35, 860.988, 1004.09
17, 0.00000, 1014.02, 809.346, 958.689
18, 0.00000, 960.71, 776.031, 924.217
19, 0.00000, 1048.65, 891.713, 1035.82
20, 0.00000, 1066.78, 900.262, 1057.13
21, 0.00000, 1025.41, 867.066, 1001.33
22, 0.00000, 1025.63, 861.434, 988.639
23, 0.00000, 965.727, 804.239, 938.372
24, 0.00000, 939.899, 783.296, 899.746
25, 0.00000, 873.053, 723.088, 822.138
26, 0.00000, 836.669, 712.064, 802.211
27, 0.00000, 878.183, 756.182, 839.322
28, 0.00000, 839.289, 724.348, 800.317
29, 0.00000, 841.838, 738.611, 820.453
30, 0.00000, 838.039, 745.771, 824.001
31, 0.00000, 913.075, 795.839, 877.922
32, 0.00000, 950.995, 804.978, 901.569
33, 0.00000, 1003.78, 844.375, 969.987
34, 0.00000, 1041.41, 866.992, 1002.41
35, 0.00000, 1035.43, 862.35, 1002.99
36, 0.00000, 1046.32, 863.985, 1005.17
37, 0.00000, 1041.17, 837.398, 983.805
38, 0.00000, 1073.37, 875.763, 1032.27
39, 0.00000, 1088.48, 865.588, 1033.27
40, 0.00000, 1071.59, 838.769, 996.308
41, 0.00000, 995.487, 785.829, 948.099
42, 0.00000, 1022.75, 804.393, 960.591
43, 0.00000, 1040.15, 835.249, 989.316
44, 0.00000, 1003.01, 808.634, 953.28
45, 0.00000, 1028.08, 832.579, 982.668
46, 0.00000, 947.013, 770.353, 911.152
47, 0.00000, 953.801, 778.174, 891.847
48, 0.00000, 924.404, 756.784, 873.904
49, 0.00000, 863.687, 709.89, 812.599
50, 0.00000, 833.783, 690.086, 787.068
51, 0.00000, 816.332, 676.55, 767.602
52, 0.00000, 794.014, 666.012, 753.712
53, 0.00000, 759.856, 641.824, 731.484
54, 0.00000, 780.366, 651.81, 740.201
55, 0.00000, 791.825, 680.583, 777.242
56, 0.00000, 868.406, 708.727, 805.647
57, 0.00000, 920.131, 739.195, 873.085
58, 0.00000, 976.396, 770.768, 919.386
59, 0.00000, 1028.21, 825.246, 955.623
60, 0.00000, 1029.58, 825.853, 973.497
61, 0.00000, 1072.97, 855.1, 998.287
62, 0.00000, 1063.73, 824.585, 996.289
63, 0.00000, 1071.27, 824.978, 984.935
64, 0.00000, 1067.34, 815.312, 975
65, 0.00000, 1072.35, 811.508, 985.963
66, 0.00000, 1029.23, 787.342, 955.187
67, 0.00000, 1069.91, 850.167, 1002.54
68, 0.00000, 1056.26, 844.893, 985.956
69, 0.00000, 1062.38, 855.624, 987.243
70, 0.00000, 984.827, 782.951, 899.329
71, 0.00000, 985.204, 792.792, 912.836
72, 0.00000, 927.391, 745.27, 863.194
73, 0.00000, 877.034, 708.302, 831.702
74, 0.00000, 867.952, 706.996, 821.763
75, 0.00000, 852.47, 696.185, 796.079
76, 0.00000, 816.266, 664.263, 768.234
77, 0.00000, 822.402, 676.483, 786.781
78, 0.00000, 838.623, 683.944, 791.121
79, 0.00000, 857.123, 699.287, 809.114
80, 0.00000, 866.922, 708.78, 821.843
81, 0.00000, 883.439, 702.609, 825.499
82, 0.00000, 908.005, 727.171, 860.883
83, 0.00000, 987.664, 778.364, 931.722
84, 0.00000, 980.55, 776.467, 932.202
85, 0.00000, 969.312, 749.153, 904.609
86, 0.00000, 948.75, 754.916, 900.919
87, 0.00000, 943.322, 760.888, 893.568
88, 0.00000, 985.953, 793.842, 933.566
89, 0.00000, 962.958, 789.465, 945.751
90, 0.00000, 997.22, 827.689, 954.297
91, 0.00000, 1030.64, 852.591, 991.943
92, 0.00000, 1030.29, 858.645, 990.698
93, 0.00000, 1042.9, 866.118, 986.561
94, 0.00000, 1028.73, 864.005, 985.041
95, 0.00000, 983.379, 846.105, 947.374
96, 0.00000, 998.296, 841.287, 947.102
97, 0.00000, 970.436, 813.894, 917.44
98, 0.00000, 904.234, 755.013, 867.307
99, 0.00000, 923.128, 796.586, 884.93
100, 0.00000, 889.15, 764.95, 848.154
101, 0.00000, 898.101, 782.228, 872.018
102, 0.00000, 966.845, 838.227, 934.259
103, 0.00000, 998.076, 874.245, 975.979
104, 0.00000, 1114.46, 976.59, 1072.25
105, 0.00000, 1104.63, 949.421, 1055.66
106, 0.00000, 1158.05, 987.443, 1103.73
107, 0.00000, 1185.29, 1020.83, 1153.9
108, 0.00000, 1183.97, 1019.2, 1129.91
109, 0.00000, 1217.07, 1043.96, 1180.74
110, 0.00000, 1214.08, 1034.53, 1162.55
