"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
115, "Line.632670", 410, 410, 105.186732885128, 105.186732885128, 2.40177711982884, 431.265604829023, 194.882314941498, 429.092295569688 
116, "Line.632670", 410, 410, 104.091116315977, 104.091116315977, 2.40177711982884, 426.773576895508, 192.862750607442, 424.564469735128 
138, "Line.632670", 410, 410, 100.896962868007, 100.896962868007, 2.40177711982884, 413.677547758829, 187.002264025592, 411.347258393489 
139, "Line.632670", 410, 410, 106.019133455204, 106.019133455204, 2.40177711982884, 434.678447166336, 196.415318044438, 432.546744250305 
140, "Line.632670", 410, 410, 103.862341013915, 103.862341013915, 2.40177711982884, 425.835598157051, 192.4399482831, 423.622959884429 
162, "Line.632670", 410, 410, 101.246073640665, 101.246073640665, 2.40177711982884, 415.108901926725, 187.641537981505, 412.790329045117 
163, "Line.632670", 410, 410, 105.945210286839, 105.945210286839, 2.40177711982884, 434.375362176038, 196.278981628596, 432.240466546034 
164, "Line.632670", 410, 410, 103.788555030982, 103.788555030982, 2.40177711982884, 425.533075627025, 192.304311795126, 423.317368458365 
187, "Line.632670", 410, 410, 103.482545003457, 103.482545003457, 2.40177711982884, 424.278434514172, 191.75513248511, 422.013538140718 
188, "Line.632670", 410, 410, 101.816847292939, 101.816847292939, 2.40177711982884, 417.449073901049, 188.686283339506, 415.152992463758 
211, "Line.632670", 410, 410, 101.495953425442, 101.495953425442, 2.40177711982884, 416.133409044312, 188.108105185498, 413.798207523697 
283, "Line.632670", 410, 410, 104.534842100895, 104.534842100895, 2.40177711982884, 428.592852613669, 193.687932257359, 426.391535875419 
284, "Line.632670", 410, 410, 100.461026342434, 100.461026342434, 2.40177711982884, 411.890208003978, 186.198321185702, 409.563503231321 
307, "Line.632670", 410, 410, 102.635575278111, 102.635575278111, 2.40177711982884, 420.805858640255, 190.197748130839, 418.525826365719 
330, "Line.632670", 410, 410, 101.512611319778, 101.512611319778, 2.40177711982884, 416.20170641109, 188.129822876314, 413.892364386621 
331, "Line.632670", 410, 410, 105.587549160493, 105.587549160493, 2.40177711982884, 432.908951558022, 195.627473873626, 430.738712792906 
332, "Line.632670", 410, 410, 101.508179776371, 101.508179776371, 2.40177711982884, 416.183537083122, 188.115753435361, 413.890426853217 
355, "Line.632670", 410, 410, 100.188243123283, 100.188243123283, 2.40177711982884, 410.771796805461, 185.709212918554, 408.423973662859 
451, "Line.632670", 410, 410, 103.040282877103, 103.040282877103, 2.40177711982884, 422.465159796122, 190.93188029996, 420.213234664664 
452, "Line.632670", 410, 410, 100.687723749322, 100.687723749322, 2.40177711982884, 412.819667372218, 186.616655127541, 410.489835754573 
475, "Line.632670", 410, 410, 102.800786244919, 102.800786244919, 2.40177711982884, 421.483223604168, 190.492218356997, 419.221796331226 
476, "Line.632670", 410, 410, 101.136681136149, 101.136681136149, 2.40177711982884, 414.660392658211, 187.439956389232, 412.341368432049 
499, "Line.632670", 410, 410, 102.3128412981, 102.3128412981, 2.40177711982884, 419.482649322209, 189.596888201088, 417.202428322912 
500, "Line.632670", 410, 410, 100.594882576415, 100.594882576415, 2.40177711982884, 412.439018563302, 186.448028278376, 410.102463496458 
619, "Line.632670", 410, 410, 101.834978246427, 101.834978246427, 2.40177711982884, 417.523410810352, 188.729148717161, 415.213667824833 
786, "Line.632670", 410, 410, 100.603113990788, 100.603113990788, 2.40177711982884, 412.472767362231, 186.464422594883, 410.132919395746 
787, "Line.632670", 410, 410, 105.445881670476, 105.445881670476, 2.40177711982884, 432.328114848952, 195.359067805362, 430.169100262567 
788, "Line.632670", 410, 410, 101.939421856871, 101.939421856871, 2.40177711982884, 417.95162961317, 188.907337592711, 415.670480910157 
811, "Line.632670", 410, 410, 104.469707390444, 104.469707390444, 2.40177711982884, 428.325800300821, 193.558864593294, 426.134413741844 
812, "Line.632670", 410, 410, 101.690040897316, 101.690040897316, 2.40177711982884, 416.929167678996, 188.451422011046, 414.636128250593 
835, "Line.632670", 410, 410, 102.322048842544, 102.322048842544, 2.40177711982884, 419.52040025443, 189.613776239503, 417.240529470912 
836, "Line.632670", 410, 410, 100.943296582281, 100.943296582281, 2.40177711982884, 413.867515987354, 187.086424958715, 411.54035126439 
859, "Line.632670", 410, 410, 105.042787982304, 105.042787982304, 2.40177711982884, 430.675430727448, 194.62278511236, 428.497097307084 
860, "Line.632670", 410, 410, 102.756696990611, 102.756696990611, 2.40177711982884, 421.302457661504, 190.408703989628, 419.046330666423 
882, "Line.632670", 410, 410, 100.162567108498, 100.162567108498, 2.40177711982884, 410.666525144843, 185.658510183714, 408.312911137608 
883, "Line.632670", 410, 410, 104.829022176442, 104.829022176442, 2.40177711982884, 429.798990923413, 194.231810544457, 427.590693547796 
884, "Line.632670", 410, 410, 101.231599859207, 101.231599859207, 2.40177711982884, 415.049559422748, 187.610157159446, 412.743743263235 
