"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 1922.29993599707, 513.627694781105, 1922.29993599707, 1989.73627719366, 29.81774181066, 85.674280565375, 29.81774181066
2, 1776.65732347659, 409.690142383232, 1922.29993599707, 1989.73627719366, 25.2324695203824, 72.236823608556, 29.81774181066
3, 1672.73527438064, 336.209457481004, 1922.29993599707, 1989.73627719366, 22.2537980362965, 63.508936141073, 29.81774181066
4, 1613.83564181413, 299.201403807207, 1922.29993599707, 1989.73627719366, 20.7870175747806, 59.2296406029552, 29.81774181066
5, 1604.284207079, 292.503728515311, 1922.29993599707, 1989.73627719366, 20.536286480277, 58.4953406606757, 29.81774181066
6, 1646.13120503334, 321.89441404907, 1922.29993599707, 1989.73627719366, 21.6503035320391, 61.7595667760845, 29.81774181066
7, 1726.98634193975, 378.939964586249, 1922.29993599707, 1989.73627719366, 23.914821990013, 68.3958418000046, 29.81774181066
8, 1793.35075961043, 426.019567397974, 1922.29993599707, 1989.73627719366, 25.8842221321132, 74.168007717707, 29.81774181066
9, 1891.59574806825, 496.1427119666, 1922.29993599707, 1989.73627719366, 28.9840406198384, 83.2544977483504, 29.81774181066
10, 2014.15438954425, 584.3427061226, 2014.15438954425, 2097.20630914535, 33.1620508152957, 95.5037409768544, 33.1620508152957
11, 2086.63872548404, 636.891380624081, 2086.63872548404, 2181.67179048611, 35.7970253917761, 103.230424997863, 35.7970253917761
12, 2114.00080758212, 656.784666166593, 2114.00080758212, 2213.6769213617, 36.8228566865697, 106.238356484593, 36.8228566865697
13, 2138.26935324205, 674.479209916904, 2138.26935324205, 2242.12355404966, 37.7480311023631, 108.951657080028, 37.7480311023631
14, 2101.27706035517, 647.545381322028, 2138.26935324205, 2242.12355404966, 36.3443143700852, 104.835595182524, 37.7480311023631
15, 2103.48005790065, 649.144350982742, 2138.26935324205, 2242.12355404966, 36.4268940381693, 105.077647449301, 37.7480311023631
16, 2118.02154392797, 659.72382444888, 2138.26935324205, 2242.12355404966, 36.9755762082176, 106.686479247811, 37.7480311023631
17, 2218.82604952475, 733.451478357277, 2218.82604952475, 2336.90823721302, 40.9184723514543, 118.250661319427, 40.9184723514543
18, 2626.58031759374, 1024.18042657293, 2626.58031759374, 2819.19664283035, 58.2623983849942, 169.050092636866, 58.2623983849942
19, 2730.15113575028, 1102.65165615368, 2730.15113575028, 2944.41265770561, 63.481100183789, 184.36284111386, 63.481100183789
20, 2648.82578978718, 1040.98726801429, 2730.15113575028, 2944.41265770561, 59.362405919545, 172.277959739174, 63.481100183789
21, 2545.73119664187, 963.33416651695, 2730.15113575028, 2944.41265770561, 54.3678529333577, 157.624107459613, 63.481100183789
