hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 657.075, -1771.04, 679.352, -1743.93, 760.141, -1828.95
2, 0.00000, 1137.21, -1629.16, 1173.46, -1597.23, 1241.01, -1675.84
3, 0.00000, 1042.81, -1670.33, 1087.61, -1637.8, 1159.47, -1704.31
4, 0.00000, 1016.29, -1691.56, 1059.37, -1659.44, 1132.56, -1727.22
5, 0.00000, 998.91, -1713.34, 1036.98, -1682.28, 1111.49, -1754.54
6, 0.00000, 407.899, -2098.04, 441.558, -2069.93, 536.505, -2139.54
7, 0.00000, 309.678, -2033.46, 332.614, -2007.68, 427.28, -2086.7
8, 0.00000, 390.715, -1963.63, 396.916, -1940.66, 490.737, -2035.9
9, 0.00000, 717.807, -1793.26, 703.454, -1772.01, 785.953, -1896.55
10, 0.00000, 983.931, -1644.44, 955.514, -1623.86, 1023.54, -1772.88
11, 0.00000, 1093.49, -1581.37, 1060.58, -1560.49, 1120.42, -1720.74
12, 0.00000, 1152.24, -1549.41, 1115.05, -1528.77, 1170.16, -1697.31
13, 0.00000, 955.726, -1664.94, 924.756, -1645.43, 995.022, -1795.34
14, 0.00000, 983.025, -1648.5, 951.69, -1628.61, 1020.08, -1780.45
15, 0.00000, 630.648, -1869.28, 600.353, -1851.34, 689.953, -1990.1
16, 0.00000, 2082.3, -850.626, 2035.42, -814.705, 1974.39, -1089.97
17, 0.00000, 2194.39, -703.993, 2123.6, -672.383, 2039.98, -987.527
18, 0.00000, 2505.01, -469.515, 2442.74, -374.188, 2275.37, -830.485
19, 0.00000, 2632.28, -368.783, 2614.55, -196.527, 2400.93, -732.989
20, 0.00000, 2552.65, -439.882, 2507.93, -314.773, 2319.69, -804.275
21, 0.00000, 2419.64, -558.752, 2331.83, -506.645, 2198.95, -910.955
22, 0.00000, 2164.44, -793.343, 2101.3, -759.94, 2024.94, -1063.3
23, 0.00000, 841.235, -1698.52, 838.005, -1674.6, 912.729, -1790.88
24, 0.00000, 148.74, -2076.11, 177.32, -2049.37, 272.623, -2123.38
