Substation,Feeder,Asset type,Asset ID,Amps A,Amps B,Amps C,% OL A,% OL B,% OL C,Rating A,Rating B,Rating C
tyn202,tyn202_sw,Line,tyn202_sw,1921.2093164067148,1917.1795516594589,2031.6447568945441,480.3023291016787,479.2948879148647,507.91118922363603,400,400,400
tyn202,tyn202_sw,Transformer,sub_tyn202_ra,1921.2093178424448,0,0,125.75188262241457,0,0,1527.7777777777778,0,0
tyn202,tyn202_sw,Line,tyn202_feeder,1797.622155699462,1804.4037741775198,1912.1357053122842,293.2499438335174,294.3562437483719,311.930783900862,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_018_abc80949,1797.6225136814119,1804.404044408003,1912.1358916027295,293.25000223187794,294.35628783164816,311.9308142908205,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_9_262_abc64916,1797.6228074052158,1804.4042663711748,1912.1360477346134,293.2500501476698,294.3563240409747,311.93083976094834,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_9p009_b1169710,0,231.23635833806998,0,0,154.15757222537997,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9p008_b1169643,0,221.04843165463228,0,0,147.3656211030882,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9p007_b1169641,0,163.2563011585868,0,0,108.83753410572454,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9_479_abc1147658,1797.624089760298,1573.183927960812,1912.136721967279,293.2502593409948,256.6368561110623,311.930949749964,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_9_259_abc1147659,1797.6245386353892,1573.18426325249,1912.1369550188056,293.2503325669477,256.6369108079102,311.93098776815754,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_525_abc80939,1797.6255330369547,1573.1850044114913,1912.1374608115154,293.25049478580013,256.63703171476203,311.9310702792032,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_526_abc1006552,962.3368262578682,796.4958970922805,892.7622257600624,156.9880630110715,129.9340778290833,145.6382097487867,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_527_abc1006553,962.3375144910227,796.4964323838411,892.7625442056107,288.12500433862954,238.47198574366502,267.2941749118595,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_004_abc2670,955.116682944927,789.6539640202166,682.0683341070287,285.9630787260261,236.42334252102293,204.2120760799487,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_003_abc2674,897.0367027816905,789.6543965746578,590.1139341333385,268.57386310829054,236.42347202834065,176.68081860279597,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_402_abc2677,893.3960671829087,789.6549839342975,590.1142635825511,267.4838524499727,236.42364788452022,176.68091724028477,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_401_abc2681,893.3965210876557,789.6553399524004,590.114463181088,267.48398834959755,236.4237544767666,176.68097700032575,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_098_abc2686,893.3969299568989,675.9357154705365,409.40770817888233,267.4841107655386,202.37596271572946,122.57715813738992,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_097_abc2690,893.3972979325819,655.294952514125,409.4078442560721,267.4842209378987,196.1960935671033,122.5771988790635,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_095_abc2704,893.3979762402854,655.295477973474,409.4080956021839,267.48442402403754,196.1962508902617,122.57727413239039,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_094_abc2703,893.3986694138237,651.8521209198187,409.4083531457339,267.484631561025,195.1653056646164,122.5773512412377,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_162_abc2710,893.3991015939598,648.4074642105413,409.40851407955466,267.4847609562754,194.13397132052134,122.57739942501638,334,334,334
