hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 0.00100, -199.462, 0.0466375, -199.565, -0.0435727, -199.585, -0.190441
0, 0.00200, -200.07, 0.0406201, -200.047, -0.0552067, -200.032, 0.153606
0, 0.00300, -200.389, 0.0330608, -200.293, -0.060313, -200.274, 0.149724
0, 0.00400, -200.613, 0.0278019, -200.476, -0.0641004, -200.453, 0.146709
0, 0.00500, -200.766, 0.0242534, -200.596, -0.0665024, -200.573, 0.14461
0, 0.00600, -200.866, 0.0218354, -200.672, -0.0680175, -200.653, 0.143259
0, 0.00700, -200.924, 0.0204446, -200.719, -0.0689721, -200.699, 0.142614
0, 0.00800, -200.953, 0.0197938, -200.746, -0.0695442, -200.722, 0.142227
0, 0.00900, -200.964, 0.0195617, -200.756, -0.0697719, -200.731, 0.142069
0, 0.01000, -200.961, 0.0196354, -200.755, -0.0697621, -200.729, 0.142092
0, 0.01100, -200.949, 0.0199396, -200.746, -0.0695862, -200.72, 0.142238
0, 0.01200, -200.933, 0.020253, -200.732, -0.0692368, -200.706, 0.142417
0, 0.01300, -200.914, 0.0207229, -200.714, -0.0688971, -200.691, 0.142617
0, 0.01400, -200.89, 0.0212813, -200.693, -0.0684173, -200.676, 0.14282
0, 0.01500, -200.863, 0.0219224, -200.671, -0.0679292, -200.657, 0.143097
0, 0.01600, -200.834, 0.022601, -200.648, -0.0674369, -200.636, 0.143426
0, 0.01700, -200.805, 0.0232461, -200.628, -0.0670816, -200.614, 0.143829
0, 0.01800, -200.775, 0.0239992, -200.609, -0.0667456, -200.592, 0.144194
0, 0.01900, -200.746, 0.024734, -200.589, -0.0663723, -200.57, 0.144555
0, 0.02000, -200.717, 0.0254436, -200.569, -0.0659573, -200.548, 0.144912
0, 0.02100, -200.689, 0.0261248, -200.547, -0.0655225, -200.527, 0.14526
0, 0.02200, -200.661, 0.0267899, -200.526, -0.0650907, -200.506, 0.145599
0, 0.02300, -200.635, 0.027431, -200.506, -0.0646684, -200.486, 0.145931
0, 0.02400, -200.609, 0.0280523, -200.486, -0.0642553, -200.466, 0.146252
0, 0.02500, -200.584, 0.0286484, -200.466, -0.0638533, -200.447, 0.146559
0, 0.02600, -200.56, 0.0292226, -200.448, -0.0634674, -200.429, 0.146859
0, 0.02700, -200.537, 0.0297751, -200.429, -0.0630914, -200.411, 0.147145
0, 0.02800, -200.514, 0.0303088, -200.412, -0.062731, -200.395, 0.147424
0, 0.02900, -200.493, 0.0308179, -200.395, -0.0623808, -200.378, 0.147688
0, 0.03000, -200.472, 0.031308, -200.379, -0.0620454, -200.363, 0.147944
0, 0.03100, -200.453, 0.0317791, -200.363, -0.0617258, -200.348, 0.14819
0, 0.03200, -200.434, 0.0322281, -200.348, -0.0614147, -200.333, 0.148426
0, 0.03300, -200.419, 0.0325115, -200.334, -0.0610609, -200.319, 0.148597
0, 0.03400, -200.406, 0.0327668, -200.32, -0.0607671, -200.306, 0.148862
0, 0.03500, -200.392, 0.033074, -200.307, -0.0604911, -200.293, 0.1491
0, 0.03600, -200.377, 0.0334061, -200.294, -0.0602247, -200.281, 0.149314
0, 0.03700, -200.363, 0.033741, -200.282, -0.0599737, -200.269, 0.149516
0, 0.03800, -200.349, 0.0340701, -200.271, -0.0597303, -200.258, 0.149707
0, 0.03900, -200.335, 0.0343957, -200.259, -0.0594978, -200.247, 0.149887
0, 0.04000, -200.322, 0.0347119, -200.249, -0.059277, -200.237, 0.150058
0, 0.04100, -200.309, 0.0350187, -200.238, -0.0590613, -200.227, 0.15022
0, 0.04200, -200.296, 0.0353186, -200.229, -0.0588577, -200.217, 0.150375
0, 0.04300, -200.284, 0.0356057, -200.219, -0.0586621, -200.208, 0.150522
0, 0.04400, -200.273, 0.0358828, -200.21, -0.0584723, -200.2, 0.150662
0, 0.04500, -200.261, 0.0361515, -200.201, -0.0582786, -200.193, 0.150754
0, 0.04600, -200.25, 0.0364299, -200.194, -0.0581145, -200.188, 0.150777
0, 0.04700, -200.24, 0.0367163, -200.19, -0.0580136, -200.185, 0.150769
0, 0.04800, -200.23, 0.0370059, -200.187, -0.0579443, -200.182, 0.150735
0, 0.04900, -200.221, 0.0372944, -200.185, -0.0578966, -200.181, 0.150684
0, 0.05000, -200.211, 0.0375758, -200.183, -0.0578686, -200.179, 0.150627
0, 0.05100, -200.203, 0.0378508, -200.182, -0.0578474, -200.178, 0.150561
0, 0.05200, -200.196, 0.0380717, -200.181, -0.0578366, -200.178, 0.150506
0, 0.05300, -200.191, 0.0382192, -200.181, -0.0578283, -200.177, 0.150471
0, 0.05400, -200.188, 0.0383223, -200.18, -0.0578221, -200.177, 0.150446
0, 0.05500, -200.185, 0.0383976, -200.18, -0.0578167, -200.177, 0.150429
0, 0.05600, -200.184, 0.0384475, -200.18, -0.057813, -200.177, 0.150415
0, 0.05700, -200.182, 0.0384865, -200.18, -0.0578111, -200.177, 0.150406
0, 0.05800, -200.182, 0.0385116, -200.18, -0.0578105, -200.176, 0.150401
0, 0.05900, -200.181, 0.0385311, -200.179, -0.0578095, -200.176, 0.150396
0, 0.06000, -200.18, 0.0385421, -200.179, -0.05781, -200.176, 0.150394
0, 0.06100, -200.18, 0.0385534, -200.179, -0.0578083, -200.176, 0.15039
0, 0.06200, -200.18, 0.038559, -200.179, -0.0578058, -200.176, 0.150389
0, 0.06300, -200.18, 0.0385646, -200.179, -0.0578068, -200.176, 0.150389
0, 0.06400, -200.18, 0.0385673, -200.179, -0.0578076, -200.176, 0.150387
0, 0.06500, -200.18, 0.0385701, -200.179, -0.0578069, -200.176, 0.150387
0, 0.06600, -200.18, 0.0385729, -200.179, -0.0578073, -200.176, 0.150386
0, 0.06700, -200.18, 0.0385729, -200.179, -0.0578061, -200.176, 0.150387
0, 0.06800, -200.18, 0.0385728, -200.179, -0.0578076, -200.176, 0.150385
0, 0.06900, -200.18, 0.0385728, -200.179, -0.0578065, -200.176, 0.150387
0, 0.07000, -200.18, 0.0385757, -200.179, -0.0578065, -200.176, 0.150386
0, 0.07100, -200.179, 0.0385756, -200.179, -0.057808, -200.176, 0.150387
0, 0.07200, -200.179, 0.0385757, -200.179, -0.0578054, -200.176, 0.150386
0, 0.07300, -200.179, 0.0385756, -200.179, -0.0578054, -200.176, 0.150384
0, 0.07400, -200.179, 0.0385756, -200.179, -0.0578054, -200.176, 0.150385
0, 0.07500, -200.179, 0.0385756, -200.179, -0.0578054, -200.176, 0.150385
0, 0.07600, -200.179, 0.0385757, -200.179, -0.0578055, -200.176, 0.150385
0, 0.07700, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.07800, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.07900, -200.179, 0.0385757, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08000, -200.179, 0.0385757, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08100, -200.179, 0.0385757, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08200, -200.179, 0.0385757, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08300, -200.179, 0.0385757, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08400, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08500, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08600, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08700, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08800, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.08900, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09000, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09100, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09200, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09300, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09400, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09500, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09600, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09700, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09800, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.09900, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10000, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10100, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10200, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10300, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10400, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10500, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10600, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
0, 0.10700, -200.179, 0.0385756, -200.179, -0.0578055, -200.176, 0.150385
