hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00100, 289.912, -1.9134, 287.935, -120.687, 288.152, 119.255, 688.007, 178.1, 693.09, 59.3, 692.639, -60.8
0, 0.00200, 289.918, -1.91163, 287.948, -120.684, 288.144, 119.256, 690.092, 178.1, 694.732, 59.3, 694.207, -60.7
0, 0.00300, 289.924, -1.90945, 287.951, -120.683, 288.148, 119.257, 691.177, 178.1, 695.582, 59.3, 695.04, -60.7
0, 0.00400, 289.929, -1.90794, 287.953, -120.682, 288.151, 119.258, 691.939, 178.1, 696.212, 59.3, 695.652, -60.7
0, 0.00500, 289.932, -1.90692, 287.955, -120.681, 288.153, 119.259, 692.458, 178.1, 696.626, 59.3, 696.066, -60.7
0, 0.00600, 289.934, -1.90623, 287.955, -120.681, 288.155, 119.259, 692.799, 178.1, 696.887, 59.3, 696.338, -60.7
0, 0.00700, 289.935, -1.90583, 287.956, -120.68, 288.155, 119.259, 692.998, 178.1, 697.049, 59.3, 696.497, -60.7
0, 0.00800, 289.935, -1.90564, 287.956, -120.68, 288.155, 119.259, 693.096, 178.1, 697.139, 59.3, 696.575, -60.7
0, 0.00900, 289.935, -1.90558, 287.956, -120.68, 288.156, 119.259, 693.132, 178.1, 697.175, 59.3, 696.606, -60.7
0, 0.01000, 289.935, -1.9056, 287.956, -120.68, 288.155, 119.259, 693.123, 178.1, 697.172, 59.3, 696.601, -60.7
0, 0.01100, 289.935, -1.90569, 287.956, -120.68, 288.155, 119.259, 693.081, 178.1, 697.141, 59.3, 696.57, -60.7
0, 0.01200, 289.935, -1.90577, 287.956, -120.68, 288.155, 119.259, 693.026, 178.1, 697.092, 59.3, 696.52, -60.7
0, 0.01300, 289.935, -1.90591, 287.956, -120.68, 288.155, 119.259, 692.962, 178.1, 697.029, 59.3, 696.469, -60.7
0, 0.01400, 289.934, -1.90607, 287.956, -120.68, 288.155, 119.259, 692.881, 178.1, 696.958, 59.3, 696.416, -60.7
0, 0.01500, 289.934, -1.90625, 287.955, -120.681, 288.155, 119.259, 692.789, 178.1, 696.882, 59.3, 696.352, -60.7
0, 0.01600, 289.933, -1.90645, 287.955, -120.681, 288.154, 119.259, 692.692, 178.1, 696.803, 59.3, 696.28, -60.7
0, 0.01700, 289.932, -1.90663, 287.955, -120.681, 288.154, 119.259, 692.592, 178.1, 696.732, 59.3, 696.206, -60.7
0, 0.01800, 289.932, -1.90685, 287.955, -120.681, 288.154, 119.259, 692.492, 178.1, 696.669, 59.3, 696.13, -60.7
