hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -254.412, 0.00384624, -254.412, 0.00384624, -254.412, 0.00384624, 0, 0
0, 2.00000, -254.412, 0.00308044, -254.412, 0.00308044, -254.412, 0.00308044, 0, 0
0, 3.00000, -254.412, 0.00269962, -254.412, 0.00269962, -254.412, 0.00269962, 0, 0
0, 4.00000, -254.412, 0.00227768, -254.412, 0.00227768, -254.412, 0.00227768, 0, 0
0, 5.00000, -254.412, 0.00195203, -254.412, 0.00195203, -254.412, 0.00195203, 0, 0
0, 6.00000, -254.412, 0.0016621, -254.412, 0.0016621, -254.412, 0.0016621, 0, 0
0, 7.00000, -254.412, 0.00141904, -254.412, 0.00141904, -254.412, 0.00141904, 0, 0
0, 8.00000, -254.412, 0.00121018, -254.412, 0.00121018, -254.412, 0.00121018, 0, 0
0, 9.00000, -254.412, 0.00103254, -254.412, 0.00103254, -254.412, 0.00103254, 0, 0
0, 10.00000, -254.412, 0.000880801, -254.412, 0.000880801, -254.412, 0.000880801, 0, 0
0, 11.00000, -254.902, 0.342144, -254.902, 0.342144, -254.902, 0.342144, 0, 0
0, 12.00000, -254.902, 0.299891, -254.902, 0.299891, -254.902, 0.299891, 0, 0
0, 13.00000, -254.902, 0.241702, -254.902, 0.241702, -254.902, 0.241702, 0, 0
0, 14.00000, -253.431, -0.82069, -253.431, -0.82069, -253.431, -0.82069, 0, 0
0, 15.00000, -251.471, -2.09758, -251.471, -2.09758, -251.471, -2.09758, 0, 0
0, 16.00000, -251.471, -1.78194, -251.471, -1.78194, -251.471, -1.78194, 0, 0
0, 17.00000, -252.941, -0.434486, -252.941, -0.434486, -252.941, -0.434486, 0, 0
0, 18.00000, -253.922, 0.361741, -253.922, 0.361741, -253.922, 0.361741, 0, 0
0, 19.00000, -254.412, 0.655725, -254.412, 0.655725, -254.412, 0.655725, 0, 0
0, 20.00000, -253.922, 0.212273, -253.922, 0.212273, -253.922, 0.212273, 0, 0
