hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 8269.15, 2.21306, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.786, 30.7664, 62.2138, 30.7664, -57.7862, 6.00412E-009, 62.2137
0, 2.00000, 8269.15, 2.21306, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.786, 30.7664, 62.2136, 30.7664, -57.7864, 6.00413E-009, 62.2135
0, 3.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.786, 30.7664, 62.2135, 30.7664, -57.7865, 6.00413E-009, 62.2134
0, 4.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2135, 30.7664, -57.7865, 6.00413E-009, 62.2134
0, 5.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2134, 30.7664, -57.7866, 6.00412E-009, 62.2134
0, 6.00000, 8269.15, 2.21305, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2133, 30.7664, -57.7867, 6.00413E-009, 62.2132
0, 7.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2133, 30.7664, -57.7867, 6.00413E-009, 62.2132
0, 8.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2132, 30.7664, -57.7868, 6.00413E-009, 62.2132
0, 9.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2132, 30.7664, -57.7868, 6.00413E-009, 62.213
0, 10.00000, 8269.15, 2.21304, 8269.15, -117.787, 8269.15, 122.213, 0, 0, 30.7664, -177.787, 30.7664, 62.2132, 30.7664, -57.7868, 6.00412E-009, 62.2131
0, 11.00000, 8269.31, 2.22009, 8269.31, -117.78, 8269.31, 122.22, 0, 0, 30.8251, -177.707, 30.8251, 62.2933, 30.8251, -57.7067, 6.01559E-009, 62.2932
0, 12.00000, 8269.37, 2.21968, 8269.37, -117.78, 8269.37, 122.22, 0, 0, 30.8249, -177.717, 30.8249, 62.2826, 30.8249, -57.7174, 6.01554E-009, 62.2826
0, 13.00000, 8269.44, 2.21912, 8269.44, -117.781, 8269.44, 122.219, 0, 0, 30.8246, -177.732, 30.8246, 62.268, 30.8246, -57.732, 6.01548E-009, 62.2679
0, 14.00000, 8269.02, 2.19759, 8269.02, -117.802, 8269.02, 122.198, 0, 0, 30.6484, -177.983, 30.6484, 62.0172, 30.6484, -57.9828, 5.98111E-009, 62.0172
0, 15.00000, 8268.28, 2.17027, 8268.28, -117.83, 8268.28, 122.17, 0, 0, 30.4149, -178.285, 30.4149, 61.7148, 30.4149, -58.2852, 5.93553E-009, 61.7148
0, 16.00000, 8267.86, 2.17338, 8267.86, -117.827, 8267.86, 122.173, 0, 0, 30.4161, -178.204, 30.4161, 61.7964, 30.4161, -58.2036, 5.93576E-009, 61.7965
0, 17.00000, 8267.91, 2.19767, 8267.91, -117.802, 8267.91, 122.198, 0, 0, 30.5932, -177.878, 30.5932, 62.1222, 30.5932, -57.8778, 5.97032E-009, 62.1221
0, 18.00000, 8268.09, 2.21277, 8268.09, -117.787, 8268.09, 122.213, 0, 0, 30.7111, -177.691, 30.7111, 62.309, 30.7111, -57.691, 5.99334E-009, 62.3089
0, 19.00000, 8268.33, 2.21921, 8268.33, -117.781, 8268.33, 122.219, 0, 0, 30.7696, -177.627, 30.7696, 62.3733, 30.7696, -57.6267, 6.00475E-009, 62.3732
0, 20.00000, 8268.32, 2.21105, 8268.32, -117.789, 8268.32, 122.211, 0, 0, 30.7102, -177.736, 30.7102, 62.2643, 30.7102, -57.7357, 5.99317E-009, 62.2642
