hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -254.412, 0.00307699, -254.412, 0.00307699, -254.412, 0.00307699, 0, 0
0, 2.00000, -254.412, 0.00246389, -254.412, 0.00246389, -254.412, 0.00246389, 0, 0
0, 3.00000, -254.412, 0.00212807, -254.412, 0.00212807, -254.412, 0.00212807, 0, 0
0, 4.00000, -254.412, 0.00178907, -254.412, 0.00178907, -254.412, 0.00178907, 0, 0
0, 5.00000, -254.412, 0.00151826, -254.412, 0.00151826, -254.412, 0.00151826, 0, 0
0, 6.00000, -254.412, 0.00128422, -254.412, 0.00128422, -254.412, 0.00128422, 0, 0
0, 7.00000, -254.412, 0.0010875, -254.412, 0.0010875, -254.412, 0.0010875, 0, 0
0, 8.00000, -254.412, 0.00092055, -254.412, 0.00092055, -254.412, 0.00092055, 0, 0
0, 9.00000, -254.412, 0.000779336, -254.412, 0.000779336, -254.412, 0.000779336, 0, 0
0, 10.00000, -254.412, 0.000659753, -254.412, 0.000659753, -254.412, 0.000659753, 0, 0
0, 11.00000, -254.902, 0.325728, -254.902, 0.325728, -254.902, 0.325728, 0, 0
0, 12.00000, -254.902, 0.280065, -254.902, 0.280065, -254.902, 0.280065, 0, 0
0, 13.00000, -254.902, 0.21738, -254.902, 0.21738, -254.902, 0.21738, 0, 0
0, 14.00000, -253.431, -0.797867, -253.431, -0.797867, -253.431, -0.797867, 0, 0
0, 15.00000, -251.471, -1.99908, -251.471, -1.99908, -251.471, -1.99908, 0, 0
0, 16.00000, -251.471, -1.65457, -251.471, -1.65457, -251.471, -1.65457, 0, 0
0, 17.00000, -252.941, -0.33322, -252.941, -0.33322, -252.941, -0.33322, 0, 0
0, 18.00000, -253.922, 0.426672, -253.922, 0.426672, -253.922, 0.426672, 0, 0
0, 19.00000, -254.412, 0.684332, -254.412, 0.684332, -254.412, 0.684332, 0, 0
0, 20.00000, -253.922, 0.235995, -253.922, 0.235995, -253.922, 0.235995, 0, 0
