hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -254.412, 0.00307699, -254.412, 0.00307699, -254.412, 0.00307699, 0, 0
0, 2.00000, -254.412, 0.00246372, -254.412, 0.00246372, -254.412, 0.00246372, 0, 0
0, 3.00000, -254.412, 0.00211636, -254.412, 0.00211636, -254.412, 0.00211636, 0, 0
0, 4.00000, -254.412, 0.00177602, -254.412, 0.00177602, -254.412, 0.00177602, 0, 0
0, 5.00000, -254.412, 0.00150172, -254.412, 0.00150172, -254.412, 0.00150172, 0, 0
0, 6.00000, -254.412, 0.00126666, -254.412, 0.00126666, -254.412, 0.00126666, 0, 0
0, 7.00000, -254.412, 0.00106925, -254.412, 0.00106925, -254.412, 0.00106925, 0, 0
0, 8.00000, -254.412, 0.000902371, -254.412, 0.000902371, -254.412, 0.000902371, 0, 0
0, 9.00000, -254.412, 0.000761602, -254.412, 0.000761602, -254.412, 0.000761602, 0, 0
0, 10.00000, -254.412, 0.000642775, -254.412, 0.000642775, -254.412, 0.000642775, 0, 0
0, 11.00000, -254.902, 0.318447, -254.902, 0.318447, -254.902, 0.318447, 0, 0
0, 12.00000, -254.902, 0.271081, -254.902, 0.271081, -254.902, 0.271081, 0, 0
0, 13.00000, -254.902, 0.20691, -254.902, 0.20691, -254.902, 0.20691, 0, 0
0, 14.00000, -253.431, -0.787707, -253.431, -0.787707, -253.431, -0.787707, 0, 0
0, 15.00000, -251.471, -1.95957, -251.471, -1.95957, -251.471, -1.95957, 0, 0
0, 16.00000, -251.471, -1.60423, -251.471, -1.60423, -251.471, -1.60423, 0, 0
0, 17.00000, -252.941, -0.294653, -252.941, -0.294653, -252.941, -0.294653, 0, 0
0, 18.00000, -253.922, 0.448425, -253.922, 0.448425, -253.922, 0.448425, 0, 0
0, 19.00000, -254.412, 0.690215, -254.412, 0.690215, -254.412, 0.690215, 0, 0
0, 20.00000, -253.922, 0.240495, -253.922, 0.240495, -253.922, 0.240495, 0, 0
