hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 282.538, 9.00482, 280.952, -111.255, 280.28, 128.959, 0, 0, 1940.57, -139.331, 1951.53, 100.41, 1956.21, -19.3761, 21.6782, -164.626
0, 2.00000, 286.974, 8.77048, 285.227, -111.445, 284.657, 128.77, 0, 0, 1938.29, -145.243, 1950.16, 94.5417, 1954.06, -25.2434, 21.3577, -164.572
0, 3.00000, 289.064, 9.00145, 287.196, -111.2, 286.633, 129.024, 0, 0, 2015.05, -147.294, 2028.16, 92.5048, 2032.14, -27.271, 22.9477, -164.087
0, 4.00000, 291.956, 9.05759, 289.959, -111.119, 289.433, 129.111, 0, 0, 2071.75, -150.472, 2086.02, 89.351, 2089.81, -30.4186, 24.0703, -163.76
0, 5.00000, 294.227, 9.23206, 292.112, -110.928, 291.599, 129.311, 0, 0, 2147.35, -152.509, 2162.9, 87.3309, 2166.71, -32.4304, 25.7093, -163.322
0, 6.00000, 296.625, 9.49801, 294.376, -110.644, 293.863, 129.605, 0, 0, 2247.03, -154.283, 2264.2, 85.5746, 2268.15, -34.1759, 27.9899, -162.741
0, 7.00000, 298.546, 9.34892, 296.24, -110.773, 295.771, 129.475, 0, 0, 2256.18, -156.57, 2273.74, 83.3082, 2277.35, -36.4431, 28.0831, -162.768
0, 8.00000, 300.329, 9.22641, 297.969, -110.877, 297.536, 129.371, 0, 0, 2270.62, -158.628, 2288.6, 81.2688, 2291.93, -38.4827, 28.3211, -162.769
0, 9.00000, 301.737, 8.92966, 299.363, -111.155, 298.982, 129.088, 0, 0, 2244.95, -160.864, 2262.75, 79.0505, 2265.64, -40.7062, 27.5873, -163.041
0, 10.00000, 302.947, 8.67434, 300.562, -111.395, 300.223, 128.844, 0, 0, 2225.04, -162.827, 2242.69, 77.1039, 2245.22, -42.6571, 27.0203, -163.274
0, 11.00000, 303.938, 8.46479, 301.545, -111.591, 301.241, 128.644, 0, 0, 2210.25, -164.462, 2227.79, 75.4817, 2230.04, -44.2827, 26.599, -163.464
0, 12.00000, 304.625, 8.06816, 302.263, -111.974, 302.009, 128.253, 0, 0, 2154.24, -166.541, 2171.07, 73.4167, 2172.9, -46.3561, 25.2252, -163.937
0, 13.00000, 304.678, 7.04428, 302.463, -112.975, 302.314, 127.228, 0, 0, 1970.72, -170.777, 1985.15, 69.2036, 1986.13, -50.5931, 21.1133, -165.317
0, 14.00000, 304.977, 6.99286, 302.734, -113.032, 302.61, 127.171, 0, 0, 1969.99, -171.301, 1982.81, 68.6745, 1983.63, -51.1231, 19.3923, -165.51
0, 15.00000, 305.129, 6.97396, 302.856, -113.059, 302.753, 127.143, 0, 0, 1970.76, -171.54, 1981.81, 68.4269, 1982.48, -51.3712, 17.5226, -165.68
0, 16.00000, 305.303, 6.95225, 302.995, -113.09, 302.917, 127.112, 0, 0, 1971.68, -171.815, 1980.69, 68.1427, 1981.2, -51.6559, 15.3763, -165.844
0, 17.00000, 304.462, 5.80462, 302.438, -114.187, 302.404, 125.988, 0, 0, 1753.31, -176.631, 1765.04, 63.3773, 1765.24, -56.4474, 16.7436, -167.013
0, 18.00000, 303.209, 4.75908, 301.389, -115.215, 301.431, 124.936, 0, 0, 1548.44, 178.461, 1557.79, 58.4871, 1557.57, -61.3621, 13.1264, -168.566
0, 19.00000, 301.486, 3.78497, 299.879, -116.175, 299.978, 123.953, 0, 0, 1348.96, 173.376, 1356.19, 53.4157, 1355.74, -66.4566, 10.0319, -170.106
0, 20.00000, 299.454, 2.84561, 298.069, -117.101, 298.213, 123.004, 0, 0, 1154.33, 167.493, 1159.69, 47.5463, 1159.14, -72.3486, 7.40627, -171.694
