hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -466.667, 287.819, -466.667, 287.819, -466.667, 287.819, 0, 0
0, 2.00000, -500, 243.723, -500, 243.723, -500, 243.723, 0, 0
0, 3.00000, -533.333, 234.172, -533.333, 234.172, -533.333, 234.172, 0, 0
0, 4.00000, -566.666, 211.533, -566.666, 211.533, -566.666, 211.533, 0, 0
0, 5.00000, -599.999, 197.948, -599.999, 197.948, -599.999, 197.948, 0, 0
0, 6.00000, -639.999, 186.168, -639.999, 186.168, -639.999, 186.168, 0, 0
0, 7.00000, -653.333, 163.881, -653.333, 163.881, -653.333, 163.881, 0, 0
0, 8.00000, -666.667, 143.48, -666.667, 143.48, -666.667, 143.48, 0, 0
0, 9.00000, -666.666, 120.023, -666.666, 120.023, -666.666, 120.023, 0, 0
0, 10.00000, -666.666, 99.6189, -666.666, 99.6188, -666.666, 99.6189, 0, 0
0, 11.00000, -666.667, 82.7184, -666.667, 82.7184, -666.667, 82.7184, 0, 0
0, 12.00000, -653.333, 61.6493, -653.333, 61.6492, -653.333, 61.6493, 0, 0
0, 13.00000, -600, 22.8281, -600, 22.8281, -600, 22.8281, 0, 0
0, 14.00000, -600.536, 17.8883, -600, 17.8731, -600, 17.8728, 0, 0
0, 15.00000, -601.133, 15.5896, -600, 15.5605, -600, 15.5604, 0, 0
0, 16.00000, -601.82, 12.9456, -600, 12.9067, -600, 12.9066, 0, 0
0, 17.00000, -533.333, -22.6876, -533.333, -22.6877, -533.333, -22.6876, 0, 0
0, 18.00000, -466.666, -51.503, -466.667, -51.5031, -466.667, -51.503, 0, 0
0, 19.00000, -400, -73.4811, -400, -73.4812, -400, -73.4811, 0, 0
0, 20.00000, -333.333, -91.5199, -333.333, -91.5199, -333.333, -91.5199, 0, 0
