hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -466.668, 287.766, -466.668, 287.766, -466.668, 287.765, 0, 0
0, 2.00000, -500, 287.929, -500, 287.929, -500, 287.929, 0, 0
0, 3.00000, -533.334, 297.843, -533.334, 297.843, -533.334, 297.843, 0, 0
0, 4.00000, -566.668, 301.997, -566.668, 301.997, -566.668, 301.997, 0, 0
0, 5.00000, -599.999, 307.994, -599.999, 307.994, -599.999, 307.994, 0, 0
0, 6.00000, -639.999, 315.962, -639.999, 315.962, -639.999, 315.962, 0, 0
0, 7.00000, -653.334, 308.868, -653.334, 308.868, -653.334, 308.868, 0, 0
0, 8.00000, -666.667, 301.503, -666.667, 301.503, -666.667, 301.503, 0, 0
0, 9.00000, -666.668, 287.136, -666.668, 287.136, -666.668, 287.136, 0, 0
0, 10.00000, -666.668, 273.108, -666.668, 273.108, -666.668, 273.108, 0, 0
0, 11.00000, -666.667, 259.741, -666.667, 259.741, -666.667, 259.741, 0, 0
0, 12.00000, -653.334, 239.16, -653.334, 239.16, -653.334, 239.16, 0, 0
0, 13.00000, -600.002, 195.368, -600.002, 195.368, -600.002, 195.368, 0, 0
0, 14.00000, -599.998, 184.984, -599.999, 184.984, -599.999, 184.984, 0, 0
0, 15.00000, -599.999, 175.634, -599.999, 175.634, -599.999, 175.634, 0, 0
0, 16.00000, -599.999, 166.439, -599.999, 166.439, -599.999, 166.439, 0, 0
0, 17.00000, -533.334, 115.795, -533.334, 115.795, -533.334, 115.795, 0, 0
0, 18.00000, -466.666, 64.9296, -466.666, 64.9297, -466.666, 64.9297, 0, 0
0, 19.00000, -400, 14.854, -400, 14.854, -400, 14.854, 0, 0
0, 20.00000, -333.334, -34.5596, -333.334, -34.5597, -333.334, -34.5597, 0, 0
