hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 281.807, 4.31026, 280.91, -115.829, 280.689, 124.271, 0, 0, 944.063, -146.978, 947.079, 92.8826, 947.824, -27.0173, 5.26724, -170.747
0, 2.00000, 282.64, 4.50205, 281.679, -115.637, 281.457, 124.469, 0, 0, 993.405, -148.42, 996.796, 91.4411, 997.583, -28.4531, 5.80204, -170.476
0, 3.00000, 282.741, 4.83671, 281.726, -115.312, 281.478, 124.801, 0, 0, 1064.15, -147.574, 1067.98, 92.2774, 1068.93, -27.6093, 6.63413, -170.021
0, 4.00000, 282.75, 5.18765, 281.684, -114.972, 281.406, 125.15, 0, 0, 1137.44, -146.573, 1141.75, 93.2679, 1142.88, -26.611, 7.55633, -169.554
0, 5.00000, 283.485, 5.39251, 282.358, -114.767, 282.074, 125.36, 0, 0, 1188.63, -147.521, 1193.37, 92.3195, 1194.57, -27.5534, 8.21821, -169.254
0, 6.00000, 283.809, 5.7467, 282.618, -114.42, 282.307, 125.715, 0, 0, 1266.31, -147.177, 1271.65, 92.6561, 1273.05, -27.2082, 9.29496, -168.771
0, 7.00000, 283.201, 6.00699, 281.999, -114.173, 281.654, 125.968, 0, 0, 1313.84, -145.389, 1319.44, 94.4317, 1321.06, -25.4277, 10.0095, -168.463
0, 8.00000, 283.788, 6.02875, 282.557, -114.147, 282.22, 125.996, 0, 0, 1324.95, -146.409, 1330.73, 93.4153, 1332.32, -26.4425, 10.1592, -168.402
0, 9.00000, 283.814, 6.02337, 282.584, -114.152, 282.247, 125.99, 0, 0, 1324.14, -146.472, 1329.91, 93.3534, 1331.5, -26.5045, 10.1462, -168.408
0, 10.00000, 283.271, 6.13187, 282.048, -114.051, 281.693, 126.093, 0, 0, 1340.78, -145.228, 1346.59, 94.5897, 1348.29, -25.2667, 10.4143, -168.297
0, 11.00000, 283.732, 6.03988, 282.502, -114.136, 282.163, 126.006, 0, 0, 1326.64, -146.28, 1332.42, 93.5434, 1334.02, -26.3143, 10.1863, -168.391
0, 12.00000, 283.486, 5.95021, 282.279, -114.225, 281.944, 125.914, 0, 0, 1305.08, -146.05, 1310.66, 93.7745, 1312.22, -26.0857, 9.87088, -168.521
0, 13.00000, 282, 5.6878, 280.895, -114.493, 280.559, 125.639, 0, 0, 1234.65, -143.814, 1239.51, 96.0057, 1240.99, -23.8632, 8.89186, -168.936
0, 14.00000, 283.529, 5.38381, 282.401, -114.775, 282.118, 125.352, 0, 0, 1187.34, -147.634, 1192.08, 92.2069, 1193.27, -27.6661, 8.19975, -169.263
0, 15.00000, 283.48, 5.39354, 282.353, -114.766, 282.069, 125.361, 0, 0, 1188.78, -147.508, 1193.52, 92.3329, 1194.73, -27.54, 8.22041, -169.252
0, 16.00000, 282.153, 5.65731, 281.046, -114.521, 280.715, 125.61, 0, 0, 1229.7, -144.185, 1234.55, 95.6372, 1236, -24.2321, 8.81816, -168.968
0, 17.00000, 281.745, 5.03397, 280.745, -115.129, 280.462, 124.987, 0, 0, 1094.85, -144.79, 1098.75, 95.0473, 1099.86, -24.8369, 7.03422, -169.789
0, 18.00000, 281.608, 4.34963, 280.713, -115.793, 280.486, 124.308, 0, 0, 950.184, -146.344, 953.212, 93.5137, 953.985, -26.3857, 5.33731, -170.695
0, 19.00000, 280.364, 3.87508, 279.594, -116.261, 279.382, 123.827, 0, 0, 839.129, -144.349, 841.442, 95.5144, 842.078, -24.3975, 4.20736, -171.323
0, 20.00000, 279.83, 3.25246, 279.176, -116.866, 279.002, 123.208, 0, 0, 704.066, -144.521, 705.715, 95.3603, 706.154, -24.5657, 2.99916, -172.145
