hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -233.333, 127.808, -233.333, 127.808, -233.333, 127.808, 0, 0
0, 2.00000, -250, 127.81, -250, 127.81, -250, 127.81, 0, 0
0, 3.00000, -266.667, 139.346, -266.667, 139.346, -266.667, 139.346, 0, 0
0, 4.00000, -283.333, 152.174, -283.333, 152.174, -283.333, 152.174, 0, 0
0, 5.00000, -300, 153.428, -300, 153.428, -300, 153.428, 0, 0
0, 6.00000, -320, 163.587, -320, 163.587, -320, 163.587, 0, 0
0, 7.00000, -326.667, 178.137, -326.667, 178.137, -326.667, 178.137, 0, 0
0, 8.00000, -333.333, 173.981, -333.333, 173.981, -333.333, 173.981, 0, 0
0, 9.00000, -333.333, 173.56, -333.333, 173.56, -333.333, 173.56, 0, 0
0, 10.00000, -333.333, 182.044, -333.333, 182.044, -333.333, 182.044, 0, 0
0, 11.00000, -333.333, 174.853, -333.333, 174.853, -333.333, 174.853, 0, 0
0, 12.00000, -326.667, 173.691, -326.667, 173.691, -326.667, 173.691, 0, 0
0, 13.00000, -300, 176.701, -300, 176.701, -300, 176.701, 0, 0
0, 14.00000, -300, 152.738, -300, 152.738, -300, 152.738, 0, 0
0, 15.00000, -300, 153.51, -300, 153.51, -300, 153.51, 0, 0
0, 16.00000, -300, 174.311, -300, 174.311, -300, 174.311, 0, 0
0, 17.00000, -266.667, 155.055, -266.667, 155.055, -266.667, 155.055, 0, 0
0, 18.00000, -233.333, 130.974, -233.333, 130.974, -233.333, 130.974, 0, 0
0, 19.00000, -200, 123.888, -200, 123.888, -200, 123.888, 0, 0
0, 20.00000, -166.667, 105.064, -166.667, 105.064, -166.667, 105.064, 0, 0
