hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 8101.21, 3.45277, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2852, 35.5124, -28.7148, 6.93033E-009, 91.2851
0, 2.00000, 8101.21, 3.45277, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2853, 35.5124, -28.7147, 6.93032E-009, 91.2853
0, 3.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2853, 35.5124, -28.7146, 6.93032E-009, 91.2853
0, 4.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2854, 35.5124, -28.7146, 6.93033E-009, 91.2854
0, 5.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2854, 35.5124, -28.7146, 6.93035E-009, 91.2854
0, 6.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2854, 35.5124, -28.7146, 6.93032E-009, 91.2853
0, 7.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2854, 35.5124, -28.7146, 6.93033E-009, 91.2854
0, 8.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2854, 35.5124, -28.7146, 6.93034E-009, 91.2854
0, 9.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2854, 35.5124, -28.7146, 6.93034E-009, 91.2854
0, 10.00000, 8101.21, 3.45278, 8101.21, -116.547, 8101.21, 123.453, 0, 0, 35.5124, -148.715, 35.5124, 91.2854, 35.5124, -28.7146, 6.93033E-009, 91.2854
0, 11.00000, 8101.34, 3.46003, 8101.34, -116.54, 8101.34, 123.46, 0, 0, 35.5845, -148.694, 35.5845, 91.3055, 35.5845, -28.6945, 6.94439E-009, 91.3054
0, 12.00000, 8101.35, 3.45996, 8101.35, -116.54, 8101.35, 123.46, 0, 0, 35.584, -148.696, 35.584, 91.3041, 35.584, -28.6959, 6.94429E-009, 91.304
0, 13.00000, 8101.4, 3.45959, 8101.4, -116.54, 8101.4, 123.46, 0, 0, 35.5815, -148.703, 35.5815, 91.2967, 35.5815, -28.7033, 6.94381E-009, 91.2967
0, 14.00000, 8101.01, 3.43776, 8101.01, -116.562, 8101.01, 123.438, 0, 0, 35.3649, -148.765, 35.3649, 91.2351, 35.3649, -28.7649, 6.90154E-009, 91.235
0, 15.00000, 8100.47, 3.40881, 8100.47, -116.591, 8100.47, 123.409, 0, 0, 35.0771, -148.845, 35.0771, 91.1549, 35.0771, -28.8451, 6.84538E-009, 91.1548
0, 16.00000, 8100.28, 3.4102, 8100.28, -116.59, 8100.28, 123.41, 0, 0, 35.0864, -148.817, 35.0864, 91.1825, 35.0864, -28.8175, 6.8472E-009, 91.1825
0, 17.00000, 8100.46, 3.43359, 8100.46, -116.566, 8100.46, 123.434, 0, 0, 35.3135, -148.724, 35.3135, 91.2756, 35.3135, -28.7244, 6.8915E-009, 91.2756
0, 18.00000, 8100.67, 3.44853, 8100.67, -116.551, 8100.67, 123.449, 0, 0, 35.4605, -148.676, 35.4605, 91.3244, 35.4605, -28.6756, 6.92021E-009, 91.3243
0, 19.00000, 8100.88, 3.45518, 8100.88, -116.545, 8100.88, 123.455, 0, 0, 35.5285, -148.668, 35.5285, 91.3325, 35.5285, -28.6675, 6.93345E-009, 91.3324
0, 20.00000, 8100.84, 3.44723, 8100.84, -116.553, 8100.84, 123.447, 0, 0, 35.4518, -148.701, 35.4518, 91.2988, 35.4518, -28.7012, 6.91849E-009, 91.2987
