hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.22, 0.00154639, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.0215035, -89.9985, 0.0215035, 150.002, 0.0215035, 30.0015, 4.19646E-012, 150.001
2, 0.00000, 7967.3, 0.000993494, 7967.3, -119.999, 7967.3, 120.001, 0, 0, 0.0138151, -89.999, 0.0138151, 150.001, 0.0138151, 30.001, 2.69604E-012, 150.001
3, 0.00000, 7967.34, 0.000638289, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00887565, -89.9994, 0.00887565, 150.001, 0.00887565, 30.0006, 1.7321E-012, 150.001
4, 0.00000, 7967.38, 0.000410085, 7967.38, -120, 7967.38, 120, 0, 0, 0.00570229, -89.9996, 0.00570229, 150, 0.00570229, 30.0004, 1.11282E-012, 150
5, 0.00000, 7967.39, 0.000328072, 7967.39, -120, 7967.39, 120, 0, 0, 0.00456183, -89.9997, 0.00456183, 150, 0.00456183, 30.0003, 8.90251E-013, 150
6, 0.00000, 7967.4, 0.000262461, 7967.4, -120, 7967.4, 120, 0, 0, 0.00364946, -89.9997, 0.00364946, 150, 0.00364946, 30.0003, 7.122E-013, 150
7, 0.00000, 7967.4, 0.000209972, 7967.4, -120, 7967.4, 120, 0, 0, 0.00291956, -89.9998, 0.00291956, 150, 0.00291956, 30.0002, 5.69761E-013, 150
8, 0.00000, 7967.41, 0.000167982, 7967.41, -120, 7967.41, 120, 0, 0, 0.00233565, -89.9998, 0.00233565, 150, 0.00233565, 30.0002, 4.55807E-013, 150
9, 0.00000, 8036.21, 1.28094, 8036.21, -118.719, 8036.21, 121.281, 0, 0, 13.5519, -155.387, 13.5519, 84.6127, 13.5519, -35.3873, 2.64467E-009, 84.6126
10, 0.00000, 8080.49, 2.11492, 8080.49, -117.885, 8080.49, 122.115, 0, 0, 22.4157, -154.833, 22.4157, 85.1669, 22.4157, -34.8331, 4.37448E-009, 85.1668
11, 0.00000, 8144.74, 3.33858, 8144.74, -116.661, 8144.74, 123.339, 0, 0, 35.4757, -154.017, 35.4757, 85.9828, 35.4757, -34.0172, 6.92315E-009, 85.9828
12, 0.00000, 8165.6, 3.73964, 8165.6, -116.26, 8165.6, 123.74, 0, 0, 39.7697, -153.749, 39.7697, 86.2507, 39.7697, -33.7493, 7.76115E-009, 86.2506
13, 0.00000, 8186.19, 4.13752, 8186.19, -115.862, 8186.19, 124.138, 0, 0, 44.0358, -153.482, 44.0358, 86.5176, 44.0358, -33.4824, 8.59369E-009, 86.5176
14, 0.00000, 8186.19, 4.13758, 8186.19, -115.862, 8186.19, 124.138, 0, 0, 44.0361, -153.481, 44.0361, 86.5185, 44.0361, -33.4815, 8.59376E-009, 86.5185
15, 0.00000, 8184.11, 4.09816, 8184.11, -115.902, 8184.11, 124.098, 0, 0, 43.6121, -153.504, 43.6121, 86.4958, 43.6121, -33.5042, 8.511E-009, 86.4956
16, 0.00000, 8165.56, 3.73993, 8165.56, -116.26, 8165.56, 123.74, 0, 0, 39.7713, -153.744, 39.7713, 86.2559, 39.7713, -33.7441, 7.76146E-009, 86.2559
17, 0.00000, 8123.57, 2.93442, 8123.57, -117.066, 8123.57, 122.934, 0, 0, 31.1539, -154.281, 31.1539, 85.7185, 31.1539, -34.2815, 6.07977E-009, 85.7184
18, 0.00000, 8058.46, 1.7001, 8058.46, -118.3, 8058.46, 121.7, 0, 0, 18.0016, -155.098, 18.0016, 84.9016, 18.0016, -35.0984, 3.51306E-009, 84.9015
19, 0.00000, 7967.29, 0.00104338, 7967.29, -119.999, 7967.29, 120.001, 0, 0, 0.0145088, -89.999, 0.0145088, 150.001, 0.0145088, 30.001, 2.83142E-012, 150.001
20, 0.00000, 7967.34, 0.000670338, 7967.34, -119.999, 7967.34, 120.001, 0, 0, 0.00932132, -89.9993, 0.00932132, 150.001, 0.00932132, 30.0007, 1.81908E-012, 150.001
21, 0.00000, 7967.37, 0.000430675, 7967.37, -120, 7967.37, 120, 0, 0, 0.00598862, -89.9996, 0.00598862, 150, 0.00598862, 30.0004, 1.16869E-012, 150
22, 0.00000, 7967.39, 0.000344544, 7967.39, -120, 7967.39, 120, 0, 0, 0.00479089, -89.9997, 0.00479089, 150, 0.00479089, 30.0003, 9.34952E-013, 150
23, 0.00000, 7967.4, 0.000275639, 7967.4, -120, 7967.4, 120, 0, 0, 0.0038327, -89.9997, 0.0038327, 150, 0.0038327, 30.0003, 7.47961E-013, 150
24, 0.00000, 7967.4, 0.000220514, 7967.4, -120, 7967.4, 120, 0, 0, 0.00306616, -89.9998, 0.00306616, 150, 0.00306616, 30.0002, 5.98369E-013, 150
