hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.21, 0.00160643, 7967.21, -119.998, 7967.21, 120.002, 0, 0, 0.0223384, -89.9984, 0.0223384, 150.002, 0.0223384, 30.0016, 4.35938E-012, 150.002
2, 0.00000, 7967.28, 0.00107214, 7967.28, -119.999, 7967.28, 120.001, 0, 0, 0.0149086, -89.9989, 0.0149086, 150.001, 0.0149086, 30.0011, 2.90945E-012, 150.001
3, 0.00000, 7967.33, 0.000715555, 7967.33, -119.999, 7967.33, 120.001, 0, 0, 0.00995009, -89.9993, 0.00995009, 150.001, 0.00995009, 30.0007, 1.94178E-012, 150.001
4, 0.00000, 7967.37, 0.000477573, 7967.37, -120, 7967.37, 120, 0, 0, 0.00664076, -89.9995, 0.00664076, 150, 0.00664076, 30.0005, 1.29596E-012, 150
5, 0.00000, 7967.4, 0.000244526, 7967.4, -120, 7967.4, 120, 0, 0, 0.00340005, -89.9998, 0.00340005, 150, 0.00340005, 30.0002, 6.63528E-013, 150
6, 0.00000, 7967.41, 0.000195624, 7967.41, -120, 7967.41, 120, 0, 0, 0.00272004, -89.9998, 0.00272004, 150, 0.00272004, 30.0002, 5.30822E-013, 150
7, 0.00000, 7967.41, 0.000156503, 7967.41, -120, 7967.41, 120, 0, 0, 0.00217603, -89.9998, 0.00217603, 150, 0.00217603, 30.0002, 4.24658E-013, 150
8, 0.00000, 7967.42, 0.000125206, 7967.42, -120, 7967.42, 120, 0, 0, 0.00174082, -89.9999, 0.00174082, 150, 0.00174082, 30.0001, 3.39726E-013, 150
9, 0.00000, 8041.37, 1.24345, 8041.37, -118.757, 8041.37, 121.243, 0, 0, 13.3495, -157.434, 13.3495, 82.5662, 13.3495, -37.4338, 2.60519E-009, 82.5661
10, 0.00000, 8089, 2.05282, 8089, -117.947, 8089, 122.053, 0, 0, 22.0796, -156.883, 22.0796, 83.1174, 22.0796, -36.8826, 4.30888E-009, 83.1173
11, 0.00000, 8158.14, 3.24, 8158.14, -116.76, 8158.14, 123.24, 0, 0, 34.9402, -156.072, 34.9402, 83.9278, 34.9402, -36.0722, 6.81865E-009, 83.9276
12, 0.00000, 8180.58, 3.62911, 8180.58, -116.371, 8180.58, 123.629, 0, 0, 39.1686, -155.804, 39.1686, 84.1957, 39.1686, -35.8043, 7.64386E-009, 84.1956
13, 0.00000, 8298.94, 3.29975, 8298.94, -116.7, 8298.94, 123.3, 0, 0, 40.5675, -168.631, 40.5675, 71.3691, 40.5675, -48.6309, 7.91683E-009, 71.369
14, 0.00000, 8298.94, 3.29975, 8298.94, -116.7, 8298.94, 123.3, 0, 0, 40.5674, -168.631, 40.5674, 71.369, 40.5674, -48.631, 7.91684E-009, 71.369
15, 0.00000, 8271.39, 3.45049, 8271.39, -116.55, 8271.39, 123.45, 0, 0, 40.7018, -165.133, 40.7018, 74.8667, 40.7018, -45.1333, 7.94304E-009, 74.8667
16, 0.00000, 8180.58, 3.6291, 8180.58, -116.371, 8180.58, 123.629, 0, 0, 39.1686, -155.805, 39.1686, 84.1954, 39.1686, -35.8046, 7.64383E-009, 84.1953
17, 0.00000, 8135.35, 2.84796, 8135.35, -117.152, 8135.35, 122.848, 0, 0, 30.6847, -156.334, 30.6847, 83.6662, 30.6847, -36.3338, 5.98819E-009, 83.6661
18, 0.00000, 8065.31, 1.65027, 8065.31, -118.35, 8065.31, 121.65, 0, 0, 17.7321, -157.146, 17.7321, 82.8539, 17.7321, -37.1461, 3.46047E-009, 82.8537
19, 0.00000, 7966.3, 0.00812982, 7966.3, -119.992, 7966.3, 120.008, 0, 0, 0.113051, -89.9919, 0.113051, 150.008, 0.113051, 30.0081, 2.20623E-011, 150.008
20, 0.00000, 7966.68, 0.00542546, 7966.68, -119.995, 7966.68, 120.005, 0, 0, 0.0754451, -89.9946, 0.0754451, 150.005, 0.0754451, 30.0054, 1.47233E-011, 150.005
21, 0.00000, 7966.93, 0.00362081, 7966.93, -119.996, 7966.93, 120.004, 0, 0, 0.05035, -89.9964, 0.05035, 150.004, 0.05035, 30.0036, 9.82591E-012, 150.003
22, 0.00000, 7967.1, 0.00241648, 7967.1, -119.998, 7967.1, 120.002, 0, 0, 0.0336028, -89.9976, 0.0336028, 150.002, 0.0336028, 30.0024, 6.55767E-012, 150.002
23, 0.00000, 7967.21, 0.00161275, 7967.21, -119.998, 7967.21, 120.002, 0, 0, 0.0224264, -89.9984, 0.0224264, 150.002, 0.0224264, 30.0016, 4.37656E-012, 150.001
24, 0.00000, 7967.28, 0.00107636, 7967.28, -119.999, 7967.28, 120.001, 0, 0, 0.0149674, -89.9989, 0.0149674, 150.001, 0.0149674, 30.0011, 2.92092E-012, 150.001
