hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 8359.65, -1.11088, 8359.65, -121.111, 8359.65, 118.889, 0, 0, 29.9056, 112.467, 29.9056, -7.5327, 29.9056, -127.533, 5.83614E-009, -7.53275
10, 0.00000, 8490.51, -1.35336, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06227, 39.4558, -126.062, 7.69989E-009, -6.06225
11, 0.00000, 8490.51, -1.35335, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06223, 39.4558, -126.062, 7.69988E-009, -6.0622
12, 0.00000, 8490.51, -1.35336, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06234, 39.4558, -126.062, 7.69988E-009, -6.06236
13, 0.00000, 8490.51, -1.35335, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06222, 39.4558, -126.062, 7.6999E-009, -6.06217
14, 0.00000, 8490.51, -1.35335, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06222, 39.4558, -126.062, 7.69989E-009, -6.0623
15, 0.00000, 8490.51, -1.35335, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06225, 39.4558, -126.062, 7.69991E-009, -6.06226
16, 0.00000, 8490.51, -1.35336, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06234, 39.4558, -126.062, 7.69988E-009, -6.06237
17, 0.00000, 8490.51, -1.35336, 8490.51, -121.353, 8490.51, 118.647, 0, 0, 39.4558, 113.938, 39.4558, -6.06233, 39.4558, -126.062, 7.6999E-009, -6.06248
18, 0.00000, 8482.21, -1.45983, 8482.21, -121.46, 8482.21, 118.54, 0, 0, 39.2979, 112.118, 39.2979, -7.88162, 39.2979, -127.882, 7.66908E-009, -7.88177
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
