hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 8149.32, 0.455057, 8149.32, -119.545, 8149.32, 120.455, 0, 0, 13.6344, 154.613, 13.6344, 34.6131, 13.6344, -85.3869, 2.66078E-009, 34.6131
10, 0.00000, 8266.04, 0.747733, 8266.04, -119.252, 8266.04, 120.748, 0, 0, 22.4031, 154.906, 22.4031, 34.9058, 22.4031, -85.0942, 4.37202E-009, 34.9057
11, 0.00000, 8435.02, 1.17245, 8435.02, -118.828, 8435.02, 121.172, 0, 0, 35.1269, 155.331, 35.1269, 35.3305, 35.1269, -84.6695, 6.8551E-009, 35.3304
12, 0.00000, 8489.85, 1.31051, 8489.85, -118.689, 8489.85, 121.311, 0, 0, 39.2626, 155.469, 39.2626, 35.4686, 39.2626, -84.5314, 7.66218E-009, 35.4686
13, 0.00000, 8543.98, 1.44693, 8543.98, -118.553, 8543.98, 121.447, 0, 0, 43.3487, 155.605, 43.3487, 35.605, 43.3487, -84.395, 8.45959E-009, 35.6048
14, 0.00000, 8543.98, 1.44693, 8543.98, -118.553, 8543.98, 121.447, 0, 0, 43.3487, 155.605, 43.3487, 35.605, 43.3487, -84.395, 8.4596E-009, 35.6049
15, 0.00000, 8538.6, 1.43336, 8538.6, -118.567, 8538.6, 121.433, 0, 0, 42.9422, 155.591, 42.9422, 35.5914, 42.9422, -84.4086, 8.38028E-009, 35.5914
16, 0.00000, 8489.85, 1.31051, 8489.85, -118.689, 8489.85, 121.311, 0, 0, 39.2625, 155.469, 39.2625, 35.4686, 39.2625, -84.5314, 7.66217E-009, 35.4685
17, 0.00000, 8379.46, 1.03268, 8379.46, -118.967, 8379.46, 121.033, 0, 0, 30.9398, 155.191, 30.9398, 35.1908, 30.9398, -84.8092, 6.03799E-009, 35.1907
18, 0.00000, 8208.11, 0.602402, 8208.11, -119.398, 8208.11, 120.602, 0, 0, 18.049, 154.76, 18.049, 34.7605, 18.049, -85.2395, 3.5223E-009, 34.7604
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
