hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, -100, -48.4322, -100, -48.4322, -100, -48.4322, 0, 0
10, 0.00000, -166.667, -80.7204, -166.667, -80.7204, -166.667, -80.7204, 0, 0
11, 0.00000, -266.667, -129.153, -266.667, -129.153, -266.667, -129.153, 0, 0
12, 0.00000, -300, -145.297, -300, -145.297, -300, -145.297, 0, 0
13, 0.00000, -333.333, -161.441, -333.333, -161.441, -333.333, -161.441, 0, 0
14, 0.00000, -333.333, -161.441, -333.333, -161.441, -333.333, -161.441, 0, 0
15, 0.00000, -330, -159.826, -330, -159.826, -330, -159.826, 0, 0
16, 0.00000, -300, -145.297, -300, -145.297, -300, -145.297, 0, 0
17, 0.00000, -233.333, -113.008, -233.333, -113.008, -233.333, -113.008, 0, 0
18, 0.00000, -133.333, -64.5763, -133.333, -64.5763, -133.333, -64.5763, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
