hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 111.111, -154.158, 111.111, -154.158, 111.111, -154.158, 0, 0
10, 0.00000, 185.185, -154.158, 185.185, -154.158, 185.185, -154.158, 0, 0
11, 0.00000, 296.296, -154.158, 296.296, -154.158, 296.296, -154.158, 0, 0
12, 0.00000, 333.333, -154.158, 333.333, -154.158, 333.333, -154.158, 0, 0
13, 0.00000, 370.37, -154.158, 370.37, -154.158, 370.37, -154.158, 0, 0
14, 0.00000, 370.37, -154.158, 370.37, -154.158, 370.37, -154.158, 0, 0
15, 0.00000, 366.667, -154.158, 366.667, -154.158, 366.667, -154.158, 0, 0
16, 0.00000, 333.333, -154.158, 333.333, -154.158, 333.333, -154.158, 0, 0
17, 0.00000, 259.259, -154.158, 259.259, -154.158, 259.259, -154.158, 0, 0
18, 0.00000, 148.148, -154.158, 148.148, -154.158, 148.148, -154.158, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
